,value
0,4.81
1,4.805
2,4.795
3,4.79
4,4.8
5,4.805
6,4.79
7,4.775
8,4.79
9,4.79
10,4.79
11,4.795
12,4.815
13,4.825
14,4.825
15,4.825
16,4.83
17,4.845
18,4.855
19,4.835
20,4.855
21,4.88
22,4.89
23,4.885
24,4.91
25,4.925
26,4.965
27,4.96
28,4.95
29,4.98
30,5.01
31,5.025
32,5.025
33,5.04
34,5.03
35,5.015
36,5.01
37,5.035
38,5.045
39,5.04
40,5.005
41,4.995
42,4.98
43,4.95
44,4.935
45,4.94
46,4.955
47,4.96
48,4.94
49,4.925
50,4.93
51,4.915
52,4.905
53,4.885
54,4.89
55,4.875
56,4.865
57,4.85
58,4.875
59,4.88
60,4.86
61,4.86
62,4.87
63,4.885
64,4.885
65,4.86
66,4.865
67,4.865
68,4.855
69,4.83
70,4.83
71,4.85
72,4.855
73,4.845
74,4.835
75,4.835
76,4.83
77,4.825
78,4.84
79,4.86
80,4.865
81,4.83
82,4.8
83,4.81
84,4.81
85,4.81
86,4.8
87,4.81
88,4.81
89,4.805
90,4.79
91,4.805
92,4.81
93,4.805
94,4.8
95,4.795
96,4.795
97,4.795
98,4.775
99,4.775
100,4.785
101,4.795
102,4.78
103,4.78
104,4.81
105,4.82
106,4.805
107,4.8
108,4.81
109,4.805
110,4.785
111,4.775
112,4.78
113,4.8
114,4.79
115,4.795
116,4.8
117,4.795
118,4.78
119,4.78
120,4.8
121,4.82
122,4.815
123,4.81
124,4.81
125,4.81
126,4.795
127,4.8
128,4.795
129,4.795
130,4.805
131,4.805
132,4.805
133,4.805
134,4.81
135,4.805
136,4.8
137,4.82
138,4.835
139,4.845
140,4.845
141,4.855
142,4.855
143,4.865
144,4.9
145,4.99
146,5.245
147,5.765
148,5.92
149,5.51
150,5.38
151,5.25
152,5.26
153,5.28
154,5.32
155,5.34
156,5.33
157,5.295
158,5.28
159,5.325
160,5.33
161,5.315
162,5.3
163,5.24
164,5.13
165,5.025
166,4.95
167,4.81
168,4.665
169,4.635
170,4.65
171,4.67
172,4.64
173,4.61
174,4.585
175,4.58
176,4.615
177,4.63
178,4.66
179,4.69
180,4.705
181,4.7
182,4.69
183,4.705
184,4.7
185,4.69
186,4.695
187,4.74
188,4.755
189,4.75
190,4.76
191,4.795
192,4.805
193,4.795
194,4.78
195,4.785
196,4.81
197,4.81
198,4.8
199,4.8
200,4.805
201,4.81
202,4.81
203,4.8
204,4.81
205,4.805
206,4.8
207,4.815
208,4.84
209,4.85
210,4.84
211,4.83
212,4.845
213,4.85
214,4.835
215,4.825
216,4.84
217,4.865
218,4.855
219,4.865
220,4.895
221,4.92
222,4.93
223,4.93
224,4.94
225,4.955
226,4.98
227,4.985
228,4.99
229,5.01
230,5.015
231,5.04
232,5.05
233,5.07
234,5.085
235,5.085
236,5.075
237,5.075
238,5.075
239,5.045
240,5.05
241,5.055
242,5.055
243,5.035
244,5.005
245,4.99
246,4.975
247,4.96
248,4.95
249,4.935
250,4.94
251,4.93
252,4.91
253,4.9
254,4.895
255,4.895
256,4.89
257,4.88
258,4.88
259,4.88
260,4.87
261,4.86
262,4.865
263,4.875
264,4.865
265,4.86
266,4.865
267,4.86
268,4.845
269,4.835
270,4.835
271,4.85
272,4.835
273,4.825
274,4.83
275,4.825
276,4.84
277,4.825
278,4.81
279,4.82
280,4.83
281,4.805
282,4.795
283,4.81
284,4.805
285,4.79
286,4.775
287,4.79
288,4.795
289,4.775
290,4.77
291,4.77
292,4.785
293,4.78
294,4.765
295,4.76
296,4.78
297,4.765
298,4.76
299,4.755
300,4.765
301,4.765
302,4.755
303,4.745
304,4.755
305,4.765
306,4.745
307,4.74
308,4.74
309,4.745
310,4.74
311,4.74
312,4.745
313,4.755
314,4.73
315,4.73
316,4.735
317,4.755
318,4.75
319,4.735
320,4.75
321,4.75
322,4.745
323,4.74
324,4.745
325,4.74
326,4.76
327,4.75
328,4.745
329,4.76
330,4.76
331,4.75
332,4.75
333,4.77
334,4.77
335,4.755
336,4.745
337,4.775
338,4.775
339,4.765
340,4.755
341,4.76
342,4.785
343,4.79
344,4.785
345,4.805
346,4.85
347,4.895
348,4.99
349,5.365
350,5.52
351,5.775
352,5.355
353,5.19
354,5.225
355,5.245
356,5.245
357,5.255
358,5.295
359,5.305
360,5.3
361,5.285
362,5.295
363,5.315
364,5.295
365,5.255
366,5.235
367,5.185
368,5.07
369,4.995
370,4.925
371,4.815
372,4.69
373,4.635
374,4.655
375,4.67
376,4.7
377,4.66
378,4.63
379,4.62
380,4.63
381,4.63
382,4.64
383,4.675
384,4.675
385,4.665
386,4.655
387,4.65
388,4.655
389,4.635
390,4.615
391,4.64
392,4.67
393,4.66
394,4.655
395,4.66
396,4.68
397,4.68
398,4.675
399,4.675
400,4.68
401,4.695
402,4.68
403,4.68
