,value
0,4.995
1,4.995
2,4.995
3,4.995
4,4.995
5,4.995
6,4.995
7,4.995
8,4.985
9,4.995
10,4.995
11,5.0
12,5.025
13,5.035
14,5.015
15,4.95
16,4.895
17,4.865
18,4.84
19,4.825
20,4.78
21,4.725
22,4.71
23,4.715
24,4.74
25,4.75
26,4.73
27,4.71
28,4.695
29,4.7
30,4.715
31,4.75
32,4.745
33,4.73
34,4.71
35,4.715
36,4.725
37,4.745
38,4.73
39,4.725
40,4.725
41,4.725
42,4.735
43,4.74
44,4.735
45,4.72
46,4.715
47,4.715
48,4.715
49,4.705
50,4.685
51,4.695
52,4.695
53,4.73
54,4.745
55,4.755
56,4.75
57,4.755
58,4.74
59,4.715
60,4.715
61,4.73
62,4.755
63,4.79
64,4.8
65,4.825
66,4.85
67,4.84
68,4.78
69,4.68
70,4.61
71,4.6
72,4.61
73,4.61
74,4.585
75,4.58
76,4.535
77,4.495
78,4.48
79,4.47
80,4.435
81,4.39
82,4.34
83,4.285
84,4.235
85,4.205
86,4.18
87,4.145
88,4.14
89,4.18
90,4.205
91,4.225
92,4.23
93,4.29
94,4.36
95,4.42
96,4.495
97,4.54
98,4.575
99,4.615
100,4.635
101,4.675
102,4.725
103,4.75
104,4.75
105,4.76
106,4.76
107,4.765
108,4.795
109,4.805
110,4.8
111,4.775
112,4.775
113,4.79
114,4.82
115,4.835
116,4.82
117,4.83
118,4.825
119,4.82
120,4.83
121,4.84
122,4.835
123,4.8
124,4.8
125,4.81
126,4.825
127,4.835
128,4.845
129,4.835
130,4.83
131,4.825
132,4.835
133,4.835
134,4.83
135,4.835
136,4.845
137,4.84
138,4.85
139,4.86
140,4.85
141,4.85
142,4.845
143,4.86
144,4.88
145,4.895
146,4.88
147,4.855
148,4.84
149,4.845
150,4.88
151,4.9
152,4.9
153,4.895
154,4.88
155,4.9
156,4.92
157,4.93
158,4.935
159,4.9
160,4.875
161,4.895
162,4.925
163,4.935
164,4.955
165,4.94
166,4.93
167,4.935
168,4.94
169,4.955
170,4.95
171,4.965
172,4.96
173,4.945
174,4.945
175,4.975
176,4.95
177,4.96
178,4.955
179,4.955
180,4.96
181,4.965
182,4.955
183,4.95
