value0,value1
-0.344999543,0.27499649
-0.335023653,0.27499649
-0.335023653,0.290001678
-0.32998375,0.27998413
-0.324995805,0.300019226
-0.32998375,0.300019226
-0.320007859,0.300019226
-0.315019914,0.285014038
-0.320007859,0.290001678
-0.324995805,0.294989318
-0.320007859,0.290001678
-0.324995805,0.27998413
-0.340011598,0.27000885
-0.335023653,0.27499649
-0.340011598,0.290001678
-0.340011598,0.300019226
-0.349987488,0.300019226
-0.324995805,0.294989318
-0.315019914,0.294989318
-0.309980011,0.290001678
-0.320007859,0.294989318
-0.315019914,0.264978942
-0.320007859,0.27499649
-0.32998375,0.264978942
-0.335023653,0.264978942
-0.335023653,0.27998413
-0.335023653,0.294989318
-0.335023653,0.300019226
-0.320007859,0.305006866
-0.315019914,0.309994506
-0.304992066,0.294989318
-0.304992066,0.314982146
-0.309980011,0.290001678
-0.309980011,0.305006866
-0.320007859,0.27998413
-0.324995805,0.27998413
-0.324995805,0.27998413
-0.324995805,0.27998413
-0.335023653,0.290001678
-0.320007859,0.27998413
-0.32998375,0.294989318
-0.315019914,0.290001678
-0.300004121,0.294989318
-0.304992066,0.300019226
-0.304992066,0.309994506
-0.315019914,0.309994506
-0.320007859,0.320012054
-0.320007859,0.335017242
-0.315019914,0.335017242
-0.300004121,0.35501007
-0.289976273,0.370015259
-0.275012437,0.370015259
-0.259996644,0.35999771
-0.250020753,0.370015259
-0.23500496,0.35999771
-0.24498085,0.35501007
-0.255008698,0.329987334
-0.24498085,0.324999694
-0.23500496,0.305006866
-0.215001221,0.300019226
-0.205025331,0.294989318
-0.185021592,0.290001678
-0.170005799,0.290001678
-0.139974212,0.294989318
-0.139974212,0.290001678
-0.134986267,0.294989318
-0.134986267,0.27998413
-0.15000206,0.27000885
-0.154990006,0.264978942
-0.179981689,0.250016022
-0.194997483,0.250016022
-0.205025331,0.259991302
-0.219989166,0.264978942
-0.239992905,0.27000885
-0.259996644,0.285014038
-0.280000382,0.27499649
-0.284988327,0.264978942
-0.304992066,0.27998413
-0.309980011,0.27000885
-0.32998375,0.27000885
-0.32998375,0.27000885
-0.340011598,0.259991302
-0.344999543,0.244986114
-0.354975434,0.239998474
-0.349987488,0.235010834
-0.349987488,0.250016022
-0.354975434,0.259991302
-0.349987488,0.255003662
-0.349987488,0.255003662
-0.340011598,0.255003662
-0.32998375,0.285014038
-0.335023653,0.27998413
-0.32998375,0.259991302
-0.344999543,0.259991302
-0.344999543,0.259991302
-0.354975434,0.259991302
-0.354975434,0.259991302
-0.360015336,0.27000885
-0.354975434,0.27499649
-0.349987488,0.27499649
-0.344999543,0.285014038
-0.32998375,0.290001678
-0.324995805,0.294989318
-0.324995805,0.305006866
-0.320007859,0.314982146
-0.32998375,0.340004882
-0.349987488,0.36498535
-0.365003282,0.385020447
-0.400022814,0.405013275
-0.434990388,0.410000915
-0.499989549,0.394995727
-0.555012819,0.385020447
