,dataset_name,method,k,theta,max,SSE,Total_time,allSSEs
0,Syn_n_50000_d_2_seed_0,asc,20,20,10,822490.2486048297,48.59786057472229,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663147, 823905.2170225929, 823821.791341243, 823716.6685947368, 823627.9587439251, 823516.0395805684, 823433.5299049797, 823327.7365361983, 823240.8305338711, 823136.9462320133, 823052.8767712034, 822947.1816091157, 822866.7506830663, 822759.2278464474, 822678.2023674974, 822571.4391746831, 822490.2486048297)"
1,Syn_n_50000_d_2_seed_1,asc,20,20,10,822978.0599269319,136.0333058834076,"(824875.801116029, 824795.3291341065, 824626.3577451806, 824540.4891686059, 824427.2148058439, 824326.1807163445, 824226.0223336138, 824136.3044381613, 824050.9374068121, 823934.9990352839, 823850.3067813391, 823762.0347096315, 823669.789041338, 823561.2902241676, 823475.9231928184, 823380.5578020393, 823292.258430567, 823179.2523991619, 823094.5601452171, 822978.0599269319)"
2,Syn_n_50000_d_2_seed_2,asc,20,20,10,827628.7494694139,160.08782076835632,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857459, 828761.2131954865, 828651.789941225, 828557.4987821216, 828455.9698387337, 828364.7229129216, 828254.3472804796, 828172.074987639, 828067.1039532896, 827986.8528119676, 827886.5601729245, 827803.4703153139, 827703.3521098598, 827628.7494694139)"
3,Syn_n_50000_d_2_seed_3,asc,20,20,10,822441.0210764587,96.82279086112976,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.3780269185, 823727.1953097186, 823614.2721566407, 823514.0075350837, 823416.0344382052, 823328.2086625642, 823221.9404459035, 823122.7573390387, 823034.9315633976, 822950.3518729995, 822863.0339945003, 822772.2536626119, 822696.8153479113, 822601.0390815568, 822525.6007668566, 822441.0210764587)"
4,Syn_n_50000_d_2_seed_4,asc,20,20,10,828937.6127402185,72.66672801971436,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437918, 830029.8713314838, 829922.7961361674, 829854.0503557079, 829733.7173803343, 829641.8923680263, 829548.1001013331, 829466.0713922504, 829369.6348764582, 829286.6327123442, 829205.4630809047, 829107.3754830658, 829016.8445867747, 828937.6127402185)"
5,Syn_n_50000_d_2_seed_5,asc,20,20,10,823745.4366632635,84.54706764221191,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825270.6760565778, 825144.3183650571, 825053.1603733695, 824969.0162871503, 824849.253633825, 824775.4145121019, 824665.896456961, 824573.8070898681, 824487.1212358586, 824385.533240718, 824297.2039850552, 824204.2492316884, 824101.6077037682, 824016.0489983362, 823912.8345579697, 823834.138469557, 823745.4366632635)"
6,Syn_n_50000_d_2_seed_6,asc,20,20,10,823945.5756459597,106.37814569473267,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629992, 825420.9504333392, 825286.0028985876, 825227.635081923, 825109.6642358286, 825023.142922488, 824889.2058726121, 824825.8729206554, 824702.2200267044, 824627.4463650115, 824495.3411310542, 824436.6654657233, 824312.1601547423, 824233.5816234538, 824135.4819665959, 824022.7654460177, 823945.5756459597)"
7,Syn_n_50000_d_2_seed_7,asc,20,20,10,825552.7438046552,118.60888743400574,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826653.8568706656, 826549.1785608296, 826481.6219267868, 826375.548319638, 826308.5471687749, 826240.9905347321, 826134.9169275833, 826071.682312778, 825965.6087056291, 825903.201583533, 825799.03551647, 825735.4710256618, 825634.111761083, 825552.7438046552)"
8,Syn_n_50000_d_2_seed_8,asc,20,20,10,821254.0251182155,57.72558784484863,"(823068.4698093869, 823026.4136651858, 822868.6349023359, 822732.2074734385, 822636.8635329925, 822571.4694425807, 822477.1394821954, 822354.2219681605, 822259.020557269, 822193.6264668572, 822099.2965064718, 821977.5526293234, 821882.3587152301, 821816.9646248182, 821722.6346644328, 821640.4091205806, 821507.0152562461, 821413.7491690128, 821347.2912054489, 821254.0251182155)"
9,Syn_n_50000_d_2_seed_9,asc,20,20,10,825660.8764366797,155.58048367500305,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827090.7130816048, 826996.3600972416, 826899.8480110661, 826798.5269761751, 826711.9128048741, 826618.5598310543, 826514.9716071348, 826424.0169465931, 826317.1265840171, 826234.7063551566, 826135.0912001448, 826045.1927731449, 825941.9145217838, 825857.6308408465, 825759.0706126958, 825660.8764366797)"
