,dataset_name,method,k,SSE,Total_time
0,r01_,basic,3,7.90E-05,43.96688128
1,r01_,basic,4,7.27E-05,68.47266412
2,r01_,basic,5,6.83E-05,93.62389755
3,r01_,basic,6,6.10E-05,120.3789093
4,r01_,basic,7,5.95E-05,141.4195821
5,r01_,basic,8,5.67E-05,161.9441645
6,r01_,basic,9,5.57E-05,179.3144066
7,r01_,basic,10,5.34E-05,201.635031
8,r01_,basic,11,5.18E-05,225.5444314
9,r01_,basic,12,5.00E-05,245.588033
10,r01_,basic,13,4.83E-05,300.8875189
11,r01_,basic,14,4.73E-05,327.7816889
12,r01_,basic,15,4.64E-05,355.0738442
13,r01_,basic,16,4.53E-05,354.0038364
14,r01_,basic,17,4.42E-05,380.2605045
15,r01_,basic,18,4.32E-05,403.3125091
16,r01_,basic,19,4.24E-05,414.1889389
17,r01_,basic,20,4.14E-05,420.7180591
18,r01_,asc,3,7.90E-05,8.134080648
19,r01_,asc,4,7.27E-05,15.50655603
20,r01_,asc,5,6.83E-05,21.97697854
21,r01_,asc,6,6.11E-05,28.54964685
22,r01_,asc,7,5.96E-05,37.40088892
23,r01_,asc,8,5.67E-05,43.98623466
24,r01_,asc,9,5.57E-05,57.56701803
25,r01_,asc,10,5.35E-05,66.70158267
26,r01_,asc,11,5.18E-05,76.74650764
27,r01_,asc,12,5.00E-05,93.54727864
28,r01_,asc,13,4.84E-05,104.8746002
29,r01_,asc,14,4.73E-05,130.8345373
30,r01_,asc,15,4.65E-05,143.0229504
31,r01_,asc,16,4.54E-05,149.1370299
32,r01_,asc,17,4.43E-05,155.6099014
33,r01_,asc,18,4.32E-05,166.8339486
34,r01_,asc,19,4.25E-05,184.0698454
35,r01_,asc,20,4.14E-05,197.3326497
