,dataset_name,method,k,theta,max,SSE,Total_time,allSSEs
0,Syn_n_50000_d_2_seed_2,asc,20,1.01,5,827592.0664996844,284.5185754299164,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828651.7899412228, 828550.2609978367, 828455.9698387334, 828354.871119998, 828254.3472804774, 828160.056121374, 828061.5714112794, 827966.907995336, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
1,Syn_n_50000_d_2_seed_2,asc,20,1.01,10,827592.0664996844,284.24398922920227,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828651.7899412228, 828550.2609978367, 828455.9698387334, 828354.871119998, 828254.3472804774, 828160.056121374, 828061.5714112794, 827966.907995336, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
2,Syn_n_50000_d_2_seed_2,asc,20,1.01,20,827592.0664996844,284.5743660926819,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828651.7899412228, 828550.2609978367, 828455.9698387334, 828354.871119998, 828254.3472804774, 828160.056121374, 828061.5714112794, 827966.907995336, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
3,Syn_n_50000_d_2_seed_2,asc,20,1.01,50,827592.0664996844,285.0177733898163,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828651.7899412228, 828550.2609978367, 828455.9698387334, 828354.871119998, 828254.3472804774, 828160.056121374, 828061.5714112794, 827966.907995336, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
4,Syn_n_50000_d_2_seed_2,asc,20,1.05,5,827592.0664996844,232.48897552490234,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
5,Syn_n_50000_d_2_seed_2,asc,20,1.05,10,827592.0664996844,232.62758684158325,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
6,Syn_n_50000_d_2_seed_2,asc,20,1.05,20,827592.0664996844,232.91679406166077,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
7,Syn_n_50000_d_2_seed_2,asc,20,1.05,50,827592.0664996844,233.27598547935486,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
8,Syn_n_50000_d_2_seed_2,asc,20,1.1,5,827592.0664996844,219.57035493850708,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
9,Syn_n_50000_d_2_seed_2,asc,20,1.1,10,827592.0664996844,219.62997317314148,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
