,dataset_name,method,k,SSE,Total_time
0,01_,basic,3,4694.354527,32.66407895
1,01_,basic,4,4625.782464,48.42836905
2,01_,basic,5,4561.943517,64.55814815
3,01_,basic,6,4494.619399,78.94119072
4,01_,basic,7,4457.732858,95.93153501
5,01_,basic,8,4436.078372,109.1987517
6,01_,basic,9,4406.863467,124.3367085
7,01_,basic,10,4385.20898,139.669414
8,01_,basic,11,4367.417534,155.8184502
9,01_,basic,12,4350.362463,170.0732775
10,01_,basic,13,4334.826711,184.072742
11,01_,basic,14,4319.736274,210.4328842
12,01_,basic,15,4305.614011,229.0109429
13,01_,basic,16,4290.860891,249.5235856
14,01_,basic,17,4277.456175,266.8976808
15,01_,basic,18,4263.065959,271.6232769
16,01_,basic,19,4249.461058,289.7077196
17,01_,basic,20,4235.55864,296.0922492
,01_,asc,3,4725.752852,3.993293047
,01_,asc,4,4625.782464,9.315088272
,01_,asc,5,4565.769205,14.4786849
,01_,asc,6,4499.138916,19.72520876
,01_,asc,7,4458.253275,24.82867146
,01_,asc,8,4436.457944,29.59600568
,01_,asc,9,4407.414509,34.69277263
,01_,asc,10,4385.588552,38.2883749
,01_,asc,11,4367.80006,44.42965436
,01_,asc,12,4350.744989,51.32285428
,01_,asc,13,4335.209973,55.0571928
,01_,asc,14,4320.745535,58.26960707
,01_,asc,15,4306.33459,67.34210157
,01_,asc,16,4291.870152,79.30632114
,01_,asc,17,4278.465436,80.31270361
,01_,asc,18,4264.362833,81.89113331
,01_,asc,19,4250.470514,87.34599781
,01_,asc,20,4236.568297,91.94639635
