,dataset_name,method,k,SSE,Total_time
0,Syn_n_100000_d_2_seed_4,basic,3.0,1657378.3217145477,173.62488460540771
1,Syn_n_100000_d_2_seed_4,basic,5.0,1657150.6011427504,354.3258719444275
2,Syn_n_100000_d_2_seed_4,basic,10.0,1656591.722829672,788.6365327835083
3,Syn_n_100000_d_2_seed_4,basic,20.0,1655602.1443636003,1630.5453860759735
4,Syn_n_100000_d_2_seed_4,asc,3.0,1657378.3217145463,23.836979627609253
5,Syn_n_100000_d_2_seed_4,asc,5.0,1657150.6011427296,40.160762310028076
6,Syn_n_100000_d_2_seed_4,asc,10.0,1656601.8331812692,56.01797127723694
7,Syn_n_100000_d_2_seed_4,asc,20.0,1655631.591469398,96.1028790473938
8,Syn_n_100000_d_2_seed_5,basic,3.0,1647180.6456770445,181.89063024520874
9,Syn_n_100000_d_2_seed_5,basic,5.0,1646967.5343504967,355.38148736953735
10,Syn_n_100000_d_2_seed_5,basic,10.0,1646455.9685489167,775.2724416255951
11,Syn_n_100000_d_2_seed_5,basic,20.0,1645418.685995937,1643.5584292411804
12,Syn_n_100000_d_2_seed_5,asc,3.0,1647180.6456770473,9.849732637405396
13,Syn_n_100000_d_2_seed_5,asc,5.0,1646967.5343504967,14.936807632446289
14,Syn_n_100000_d_2_seed_5,asc,10.0,1646456.1176344822,32.004292488098145
15,Syn_n_100000_d_2_seed_5,asc,20.0,1645421.4448865112,84.46817660331726
16,Syn_n_100000_d_2_seed_6,basic,3.0,1651347.0104691416,169.5946342945099
17,Syn_n_100000_d_2_seed_6,basic,5.0,1651142.9843454938,339.35506653785706
18,Syn_n_100000_d_2_seed_6,basic,10.0,1650618.3298982782,761.1863152980804
19,Syn_n_100000_d_2_seed_6,basic,20.0,1649603.5000801673,1626.0710530281067
20,Syn_n_100000_d_2_seed_6,asc,3.0,1651347.0104691419,4.336402177810669
21,Syn_n_100000_d_2_seed_6,asc,5.0,1651142.9843454917,16.832953691482544
22,Syn_n_100000_d_2_seed_6,asc,10.0,1650618.3298982661,34.45100498199463
23,Syn_n_100000_d_2_seed_6,asc,20.0,1649625.1096465588,89.82685256004333
24,Syn_n_100000_d_2_seed_7,basic,3.0,1654299.9938894815,169.3426616191864
25,Syn_n_100000_d_2_seed_7,basic,5.0,1654095.8902509059,343.75995898246765
26,Syn_n_100000_d_2_seed_7,basic,10.0,1653567.1090745772,775.2465450763702
27,Syn_n_100000_d_2_seed_7,basic,20.0,1652627.3104165404,1635.1868970394135
28,Syn_n_100000_d_2_seed_7,asc,3.0,1654300.7349756104,17.492210865020752
29,Syn_n_100000_d_2_seed_7,asc,5.0,1654096.6473302096,21.648661375045776
30,Syn_n_100000_d_2_seed_7,asc,10.0,1653567.7721765665,34.61940884590149
31,Syn_n_100000_d_2_seed_7,asc,20.0,1652627.9735185234,77.72967433929443
32,Syn_n_100000_d_2_seed_8,basic,3.0,1648326.4896316659,171.4370472431183
33,Syn_n_100000_d_2_seed_8,basic,5.0,1648120.6230398784,344.25694465637207
34,Syn_n_100000_d_2_seed_8,basic,10.0,1647578.267049427,770.8201715946198
35,Syn_n_100000_d_2_seed_8,basic,20.0,1646588.8929645845,1608.6727848052979
36,Syn_n_100000_d_2_seed_8,asc,3.0,1648326.489631668,17.560004472732544
37,Syn_n_100000_d_2_seed_8,asc,5.0,1648122.4668736847,21.62018060684204
38,Syn_n_100000_d_2_seed_8,asc,10.0,1647583.179732579,35.45973300933838
39,Syn_n_100000_d_2_seed_8,asc,20.0,1646598.316693929,77.41913509368896
40,Syn_n_100000_d_2_seed_9,basic,3.0,1648906.8727724103,166.68363451957703
41,Syn_n_100000_d_2_seed_9,basic,5.0,1648693.6269872705,332.15730023384094
42,Syn_n_100000_d_2_seed_9,basic,10.0,1648202.5934352695,746.1731863021851
43,Syn_n_100000_d_2_seed_9,basic,20.0,1647218.6514070882,1579.96870303154
44,Syn_n_100000_d_2_seed_9,asc,3.0,1648906.8727724114,1.7283744812011719
45,Syn_n_100000_d_2_seed_9,asc,5.0,1648693.6269872875,4.8779616355896
46,Syn_n_100000_d_2_seed_9,asc,10.0,1648208.9178874064,17.798363208770752
47,Syn_n_100000_d_2_seed_9,asc,20.0,1647237.7237755132,52.12715935707092
