,dataset_name,method,k,SSE,Total_time
0,Syn_n_10000_d_2_seed_0,basic,3.0,164118.50651951594,1.70341157913208
1,Syn_n_10000_d_2_seed_0,basic,5.0,163960.60402698236,3.45976185798645
2,Syn_n_10000_d_2_seed_0,basic,10.0,163517.55759922395,7.43462610244751
3,Syn_n_10000_d_2_seed_0,basic,20.0,162732.96523964012,15.248181819915771
4,Syn_n_10000_d_2_seed_0,asc,3.0,164118.5065195159,0.18350839614868164
5,Syn_n_10000_d_2_seed_0,asc,5.0,163960.62350645266,0.3610541820526123
6,Syn_n_10000_d_2_seed_0,asc,10.0,163517.55759922383,0.8896529674530029
7,Syn_n_10000_d_2_seed_0,asc,20.0,162745.81320333868,2.4284794330596924
8,Syn_n_10000_d_2_seed_1,basic,3.0,164608.15320126934,1.9178719520568848
9,Syn_n_10000_d_2_seed_1,basic,5.0,164394.72503799194,3.625272750854492
10,Syn_n_10000_d_2_seed_1,basic,10.0,163928.16017060625,7.5867085456848145
11,Syn_n_10000_d_2_seed_1,basic,20.0,163093.8448476806,17.200993537902832
12,Syn_n_10000_d_2_seed_1,asc,3.0,164608.15320126928,0.03690052032470703
13,Syn_n_10000_d_2_seed_1,asc,5.0,164394.72503799177,0.29421353340148926
14,Syn_n_10000_d_2_seed_1,asc,10.0,163937.13299636834,1.079113483428955
15,Syn_n_10000_d_2_seed_1,asc,20.0,163126.64691609624,3.856685161590576
16,Syn_n_10000_d_2_seed_2,basic,3.0,166914.68515431654,1.7343623638153076
17,Syn_n_10000_d_2_seed_2,basic,5.0,166708.51100088915,3.381953477859497
18,Syn_n_10000_d_2_seed_2,basic,10.0,166260.42011541096,7.83754563331604
19,Syn_n_10000_d_2_seed_2,basic,20.0,165441.36942774107,16.42404818534851
20,Syn_n_10000_d_2_seed_2,asc,3.0,166918.02496672032,0.014959335327148438
21,Syn_n_10000_d_2_seed_2,asc,5.0,166708.51100088924,0.057845115661621094
22,Syn_n_10000_d_2_seed_2,asc,10.0,166262.65563652114,0.2074451446533203
23,Syn_n_10000_d_2_seed_2,asc,20.0,165449.70780817122,1.3284480571746826
24,Syn_n_10000_d_2_seed_3,basic,3.0,164374.4721618481,1.9527781009674072
25,Syn_n_10000_d_2_seed_3,basic,5.0,164201.69895943187,3.7788915634155273
26,Syn_n_10000_d_2_seed_3,basic,10.0,163784.424000788,7.889905214309692
27,Syn_n_10000_d_2_seed_3,basic,20.0,162978.46095572496,16.914270162582397
28,Syn_n_10000_d_2_seed_3,asc,3.0,164374.47216184807,0.17752647399902344
29,Syn_n_10000_d_2_seed_3,asc,5.0,164201.69895943187,0.508638858795166
30,Syn_n_10000_d_2_seed_3,asc,10.0,163784.42400078799,1.5518465042114258
31,Syn_n_10000_d_2_seed_3,asc,20.0,162978.4609557247,3.5126049518585205
32,Syn_n_10000_d_2_seed_4,basic,3.0,167243.61976762715,1.7133879661560059
33,Syn_n_10000_d_2_seed_4,basic,5.0,167102.0788450748,3.367990016937256
34,Syn_n_10000_d_2_seed_4,basic,10.0,166728.7753819385,7.540831804275513
35,Syn_n_10000_d_2_seed_4,basic,20.0,165997.21170644904,15.883675813674927
36,Syn_n_10000_d_2_seed_4,asc,3.0,167243.61976762715,0.20545053482055664
37,Syn_n_10000_d_2_seed_4,asc,5.0,167102.07884507533,0.3480689525604248
38,Syn_n_10000_d_2_seed_4,asc,10.0,166732.98753643123,0.8576948642730713
39,Syn_n_10000_d_2_seed_4,asc,20.0,166004.91690233213,2.371654987335205
40,Syn_n_10000_d_2_seed_5,basic,3.0,165081.95085268287,1.829106330871582
41,Syn_n_10000_d_2_seed_5,basic,5.0,164885.57675760752,3.4497735500335693
42,Syn_n_10000_d_2_seed_5,basic,10.0,164416.72349693323,7.794155836105347
43,Syn_n_10000_d_2_seed_5,basic,20.0,163567.0777045588,16.44809055328369
44,Syn_n_10000_d_2_seed_5,asc,3.0,165081.95085268284,0.19747328758239746
45,Syn_n_10000_d_2_seed_5,asc,5.0,164885.57675760737,0.3899543285369873
46,Syn_n_10000_d_2_seed_5,asc,10.0,164430.43709329277,0.8995940685272217
47,Syn_n_10000_d_2_seed_5,asc,20.0,163567.0777045583,2.602041006088257
48,Syn_n_10000_d_2_seed_6,basic,3.0,165254.9070389996,1.7104246616363525
49,Syn_n_10000_d_2_seed_6,basic,5.0,165041.90137864102,3.3759708404541016
50,Syn_n_10000_d_2_seed_6,basic,10.0,164590.00598555786,7.545817613601685
51,Syn_n_10000_d_2_seed_6,basic,20.0,163815.06669636664,15.87681531906128
52,Syn_n_10000_d_2_seed_6,asc,3.0,165254.9070389996,0.1436142921447754
53,Syn_n_10000_d_2_seed_6,asc,5.0,165041.90137864102,0.2403578758239746
54,Syn_n_10000_d_2_seed_6,asc,10.0,164590.00598555795,0.6133565902709961
55,Syn_n_10000_d_2_seed_6,asc,20.0,163826.36050856425,2.3288638591766357
56,Syn_n_10000_d_2_seed_7,basic,3.0,164477.8299041407,1.837085485458374
57,Syn_n_10000_d_2_seed_7,basic,5.0,164311.256714981,3.4816880226135254
58,Syn_n_10000_d_2_seed_7,basic,10.0,163878.25243961197,7.76033091545105
59,Syn_n_10000_d_2_seed_7,basic,20.0,163080.59981218894,16.62554955482483
60,Syn_n_10000_d_2_seed_7,asc,3.0,164478.4915659763,0.26329565048217773
61,Syn_n_10000_d_2_seed_7,asc,5.0,164316.94535498272,0.5465395450592041
62,Syn_n_10000_d_2_seed_7,asc,10.0,163886.66535923877,0.9714000225067139
63,Syn_n_10000_d_2_seed_7,asc,20.0,163097.0256438428,2.3427340984344482
64,Syn_n_10000_d_2_seed_8,basic,3.0,164556.5257902018,1.7124872207641602
65,Syn_n_10000_d_2_seed_8,basic,5.0,164394.67857218895,3.3679921627044678
66,Syn_n_10000_d_2_seed_8,basic,10.0,164010.39292255396,7.569754362106323
67,Syn_n_10000_d_2_seed_8,basic,20.0,163248.658096046,16.056567192077637
68,Syn_n_10000_d_2_seed_8,asc,3.0,164556.52579020156,0.21143436431884766
69,Syn_n_10000_d_2_seed_8,asc,5.0,164399.7024414735,0.3949453830718994
70,Syn_n_10000_d_2_seed_8,asc,10.0,164018.04277845443,1.147019624710083
71,Syn_n_10000_d_2_seed_8,asc,20.0,163275.7400087167,2.903235673904419
72,Syn_n_10000_d_2_seed_9,basic,3.0,165556.50877815465,1.8201301097869873
73,Syn_n_10000_d_2_seed_9,basic,5.0,165396.4907661419,3.3829541206359863
74,Syn_n_10000_d_2_seed_9,basic,10.0,164932.2364105182,7.901673316955566
75,Syn_n_10000_d_2_seed_9,basic,20.0,164139.53365343114,17.05007314682007
76,Syn_n_10000_d_2_seed_9,asc,3.0,165556.5087781546,0.030918121337890625
77,Syn_n_10000_d_2_seed_9,asc,5.0,165397.204596595,0.13563895225524902
78,Syn_n_10000_d_2_seed_9,asc,10.0,164932.42487622955,1.1559085845947266
79,Syn_n_10000_d_2_seed_9,asc,20.0,164151.8428163741,3.47969126701355
80,Syn_n_50000_d_2_seed_3,basic,3.0,824047.3949324421,46.36898350715637
81,Syn_n_50000_d_2_seed_3,basic,5.0,823830.3780269185,90.08330082893372
82,Syn_n_50000_d_2_seed_3,basic,10.0,823312.1774600099,195.4083535671234
83,Syn_n_50000_d_2_seed_3,basic,20.0,822430.1289156048,414.9842665195465
84,Syn_n_50000_d_2_seed_3,asc,3.0,824047.3949324419,2.425511121749878
85,Syn_n_50000_d_2_seed_3,asc,5.0,823830.3780269208,4.7494025230407715
86,Syn_n_50000_d_2_seed_3,asc,10.0,823312.1774600104,11.400583505630493
87,Syn_n_50000_d_2_seed_3,asc,20.0,822438.0568324713,29.92111301422119
88,Syn_n_50000_d_2_seed_4,basic,3.0,830533.7593167919,43.859495401382446
89,Syn_n_50000_d_2_seed_4,basic,5.0,830310.7750996331,87.57503914833069
90,Syn_n_50000_d_2_seed_4,basic,10.0,829821.367870094,196.78802847862244
91,Syn_n_50000_d_2_seed_4,basic,20.0,828915.1019788806,403.3036079406738
92,Syn_n_50000_d_2_seed_4,asc,3.0,830533.759316792,6.503361940383911
93,Syn_n_50000_d_2_seed_4,asc,5.0,830310.7750996319,10.623634815216064
94,Syn_n_50000_d_2_seed_4,asc,10.0,829821.3678700934,16.1762433052063
95,Syn_n_50000_d_2_seed_4,asc,20.0,828920.0474926347,36.57163953781128
96,Syn_n_50000_d_2_seed_5,basic,3.0,825348.2251046004,42.453014850616455
97,Syn_n_50000_d_2_seed_5,basic,5.0,825144.3183650591,85.37935328483582
98,Syn_n_50000_d_2_seed_5,basic,10.0,824640.5565853884,191.19377422332764
99,Syn_n_50000_d_2_seed_5,basic,20.0,823692.923557239,408.7167911529541
100,Syn_n_50000_d_2_seed_5,asc,3.0,825348.2251046016,2.926175355911255
101,Syn_n_50000_d_2_seed_5,asc,5.0,825144.318365059,6.554466962814331
102,Syn_n_50000_d_2_seed_5,asc,10.0,824640.7056709387,15.419759035110474
103,Syn_n_50000_d_2_seed_5,asc,20.0,823692.9235572377,37.42745876312256
104,Syn_n_50000_d_2_seed_6,basic,3.0,825616.5346881885,42.740265130996704
105,Syn_n_50000_d_2_seed_6,basic,5.0,825413.8215394771,85.21266412734985
106,Syn_n_50000_d_2_seed_6,basic,10.0,824888.1261181305,193.31417059898376
107,Syn_n_50000_d_2_seed_6,basic,20.0,823930.0055440352,423.1459929943085
108,Syn_n_50000_d_2_seed_6,asc,3.0,825616.5346881888,2.7077572345733643
