,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_0,asc,1.01,5.0,822474.0661603299,101.21529483795166
1,Syn_n_50000_d_2_seed_0,asc,1.01,10.0,822471.1895174425,102.04808378219604
2,Syn_n_50000_d_2_seed_0,asc,1.01,20.0,822471.1895174424,102.29115104675293
3,Syn_n_50000_d_2_seed_0,asc,1.01,50.0,822471.1895174424,102.2081093788147
4,Syn_n_50000_d_2_seed_0,asc,1.05,5.0,822474.0661603326,37.06288242340088
5,Syn_n_50000_d_2_seed_0,asc,1.05,10.0,822471.1895174448,40.63730788230896
6,Syn_n_50000_d_2_seed_0,asc,1.05,20.0,822471.1895174438,43.679208755493164
7,Syn_n_50000_d_2_seed_0,asc,1.05,50.0,822471.1895174438,44.19247508049011
8,Syn_n_50000_d_2_seed_0,asc,1.1,5.0,822474.0661603359,19.179170608520508
9,Syn_n_50000_d_2_seed_0,asc,1.1,10.0,822471.1895174448,20.731666564941406
10,Syn_n_50000_d_2_seed_0,asc,1.1,20.0,822471.1895174438,22.10008406639099
11,Syn_n_50000_d_2_seed_0,asc,1.1,50.0,822471.1895174438,24.339385747909546
12,Syn_n_50000_d_2_seed_0,asc,1.2,5.0,822484.7936975728,9.806182861328125
13,Syn_n_50000_d_2_seed_0,asc,1.2,10.0,822484.7936975722,11.05282473564148
14,Syn_n_50000_d_2_seed_0,asc,1.2,20.0,822471.1895174445,13.637495517730713
15,Syn_n_50000_d_2_seed_0,asc,1.2,50.0,822471.1895174443,14.364013671875
16,Syn_n_50000_d_2_seed_0,asc,1.5,5.0,822484.7936975741,4.6296162605285645
17,Syn_n_50000_d_2_seed_0,asc,1.5,10.0,822484.793697573,5.763664484024048
18,Syn_n_50000_d_2_seed_0,asc,1.5,20.0,822471.1895174452,6.6761486530303955
19,Syn_n_50000_d_2_seed_0,asc,1.5,50.0,822471.189517445,8.665749788284302
20,Syn_n_50000_d_2_seed_0,asc,2.0,5.0,822522.2248392324,3.1605782508850098
21,Syn_n_50000_d_2_seed_0,asc,2.0,10.0,822507.7729254712,4.1818153858184814
22,Syn_n_50000_d_2_seed_0,asc,2.0,20.0,822494.4079881398,5.333766460418701
23,Syn_n_50000_d_2_seed_0,asc,2.0,50.0,822476.8846425929,6.010154962539673
24,Syn_n_50000_d_2_seed_0,asc,5.0,5.0,822505.3202890817,2.0973894596099854
25,Syn_n_50000_d_2_seed_0,asc,5.0,10.0,822505.3738180972,2.744659900665283
26,Syn_n_50000_d_2_seed_0,asc,5.0,20.0,822482.6804035129,3.2781999111175537
27,Syn_n_50000_d_2_seed_0,asc,5.0,50.0,822476.884642591,3.788865327835083
28,Syn_n_50000_d_2_seed_0,asc,10.0,5.0,822529.1725925314,1.8550219535827637
29,Syn_n_50000_d_2_seed_0,asc,10.0,10.0,822503.9408199608,2.2280490398406982
30,Syn_n_50000_d_2_seed_0,asc,10.0,20.0,822486.6899123506,2.4783411026000977
31,Syn_n_50000_d_2_seed_0,asc,10.0,50.0,822488.9872438171,2.8373773097991943
32,Syn_n_50000_d_2_seed_1,asc,1.01,5.0,822987.5582959519,74.58431029319763
33,Syn_n_50000_d_2_seed_1,asc,1.01,10.0,822981.0347796255,71.45661187171936
34,Syn_n_50000_d_2_seed_1,asc,1.01,20.0,822968.0658165796,69.04989457130432
35,Syn_n_50000_d_2_seed_1,asc,1.01,50.0,822968.0658165796,68.92836809158325
36,Syn_n_50000_d_2_seed_1,asc,1.05,5.0,823016.6106903898,23.01183295249939
37,Syn_n_50000_d_2_seed_1,asc,1.05,10.0,822997.7061933132,26.03736162185669
38,Syn_n_50000_d_2_seed_1,asc,1.05,20.0,822977.1912314122,25.75163197517395
39,Syn_n_50000_d_2_seed_1,asc,1.05,50.0,822977.1912314101,28.662991285324097
40,Syn_n_50000_d_2_seed_1,asc,1.1,5.0,823027.5961915465,11.230688333511353
41,Syn_n_50000_d_2_seed_1,asc,1.1,10.0,822995.9862126163,15.051318645477295
42,Syn_n_50000_d_2_seed_1,asc,1.1,20.0,822977.191231413,14.143142700195312
