dataset_name,method,k,theta,MAX,SSE,Total_time,allSSEs
Syn_n_50000_d_2_seed_0,asc,20,1.01,5,822470.770706042,265.159173250198,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412445, 823709.34415283, 823625.9184714821, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982004, 822933.9627651996, 822849.6303120049, 822744.1981423032, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.01,5,822968.065816576,309.986696720123,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822968.0658165761)"
Syn_n_50000_d_2_seed_2,asc,20,1.01,5,827592.066499684,284.518575429916,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828651.7899412228, 828550.2609978367, 828455.9698387334, 828354.871119998, 828254.3472804774, 828160.056121374, 828061.5714112794, 827966.907995336, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.01,5,822430.128915603,389.756828069687,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.01,5,828915.101978878,257.876116514206,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751692, 828915.101978878)"
Syn_n_50000_d_2_seed_5,asc,20,1.01,5,823692.923557233,246.849494218826,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.01,5,823930.38295234,284.262069940567,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.01,5,825512.128297058,270.040110349655,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.01,5,821197.659419203,248.527185678482,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.01,5,825649.51843048,293.766026258469,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.3939779309, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
