,dataset_name,method,theta,max,SSE,Total_time
0,Syn_n_50000_d_2_seed_9,asc,1.01,5,825650.172195542,52.240288734436035
1,Syn_n_50000_d_2_seed_9,asc,1.01,10,825649.5184304873,51.65074443817139
2,Syn_n_50000_d_2_seed_9,asc,1.01,20,825649.5184304871,54.52628946304321
3,Syn_n_50000_d_2_seed_9,asc,1.01,50,825649.5184304871,57.67263960838318
4,Syn_n_50000_d_2_seed_9,asc,1.05,5,825664.394772041,14.250411748886108
5,Syn_n_50000_d_2_seed_9,asc,1.05,10,825651.0603341833,17.349150896072388
6,Syn_n_50000_d_2_seed_9,asc,1.05,20,825649.5184304888,19.969012022018433
7,Syn_n_50000_d_2_seed_9,asc,1.05,50,825649.5184304888,22.639461278915405
8,Syn_n_50000_d_2_seed_9,asc,1.1,5,825664.394772041,7.394262790679932
9,Syn_n_50000_d_2_seed_9,asc,1.1,10,825651.0603341835,9.501617908477783
10,Syn_n_50000_d_2_seed_9,asc,1.1,20,825649.518430489,12.05475664138794
11,Syn_n_50000_d_2_seed_9,asc,1.1,50,825649.518430489,13.486228942871094
12,Syn_n_50000_d_2_seed_9,asc,1.2,5,825671.7995972274,3.7240395545959473
13,Syn_n_50000_d_2_seed_9,asc,1.2,10,825654.4614589789,5.34154486656189
14,Syn_n_50000_d_2_seed_9,asc,1.2,20,825649.5184304895,7.419391632080078
15,Syn_n_50000_d_2_seed_9,asc,1.2,50,825649.5184304893,8.835009336471558
16,Syn_n_50000_d_2_seed_9,asc,1.5,5,825685.2156023073,1.9715149402618408
17,Syn_n_50000_d_2_seed_9,asc,1.5,10,825655.3104139467,3.0478479862213135
18,Syn_n_50000_d_2_seed_9,asc,1.5,20,825649.5184304893,4.2070629596710205
19,Syn_n_50000_d_2_seed_9,asc,1.5,50,825649.5184304893,5.563005685806274
20,Syn_n_50000_d_2_seed_9,asc,2.0,5,825672.9588000859,1.2266979217529297
21,Syn_n_50000_d_2_seed_9,asc,2.0,10,825655.3104139465,2.26597261428833
22,Syn_n_50000_d_2_seed_9,asc,2.0,20,825649.5184304896,3.515597105026245
23,Syn_n_50000_d_2_seed_9,asc,2.0,50,825649.5184304896,4.1482813358306885
24,Syn_n_50000_d_2_seed_9,asc,5.0,5,825680.1083208346,0.9970667362213135
25,Syn_n_50000_d_2_seed_9,asc,5.0,10,825659.5927440329,1.5428736209869385
26,Syn_n_50000_d_2_seed_9,asc,5.0,20,825649.5184304884,2.0186002254486084
27,Syn_n_50000_d_2_seed_9,asc,5.0,50,825653.3709643456,2.468397855758667
28,Syn_n_50000_d_2_seed_9,asc,10.0,5,825723.5728710634,0.950458288192749
29,Syn_n_50000_d_2_seed_9,asc,10.0,10,825659.5927440289,1.3214921951293945
30,Syn_n_50000_d_2_seed_9,asc,10.0,20,825658.3830034665,1.535902500152588
31,Syn_n_50000_d_2_seed_9,asc,10.0,50,825658.3830034663,1.8999176025390625
