,dataset_name,method,k,theta,max,SSE,Total_time
0,01_,asc,3.0,1.0,10.0,4694.354526706968,5.392603635787964
1,01_,asc,3.0,2.0,10.0,4725.752852182142,0.9404580593109131
2,01_,asc,3.0,4.0,10.0,4725.752852182152,0.3430821895599365
3,01_,asc,3.0,8.0,10.0,4725.752852182154,0.16558265686035156
4,01_,asc,3.0,16.0,10.0,4725.752852182156,0.08873820304870605
5,01_,asc,3.0,32.0,10.0,4725.75285218216,0.05485129356384277
6,01_,asc,3.0,64.0,10.0,4725.75285218216,0.029918909072875977
7,01_,asc,5.0,1.0,10.0,4564.071609503452,17.25884199142456
8,01_,asc,5.0,2.0,10.0,4579.661560329145,4.967741012573242
9,01_,asc,5.0,4.0,10.0,4579.661077832492,1.7613162994384766
10,01_,asc,5.0,8.0,10.0,4579.66107783251,0.7240369319915771
11,01_,asc,5.0,16.0,10.0,4579.66107783251,0.36206507682800293
12,01_,asc,5.0,32.0,10.0,4579.661077832591,0.21041131019592285
13,01_,asc,5.0,64.0,10.0,4579.661077832541,0.13966107368469238
14,01_,asc,10.0,1.0,10.0,4385.588552499616,44.485750675201416
15,01_,asc,10.0,2.0,10.0,4386.497909737729,15.561950922012329
16,01_,asc,10.0,4.0,10.0,4392.0967794716,7.376272201538086
17,01_,asc,10.0,8.0,10.0,4402.120491087658,2.847411870956421
18,01_,asc,10.0,16.0,10.0,4413.167017468171,1.4032483100891113
19,01_,asc,10.0,32.0,10.0,4426.653489387324,0.7599935531616211
20,01_,asc,10.0,64.0,10.0,4428.579932601799,0.40590953826904297
21,01_,asc,20.0,1.0,10.0,4235.984529866158,104.34756207466125
22,01_,asc,20.0,2.0,10.0,4239.3005489038605,37.89213299751282
23,01_,asc,20.0,4.0,10.0,4251.3483452899245,18.74782681465149
24,01_,asc,20.0,8.0,10.0,4251.56777829107,8.223514556884766
25,01_,asc,20.0,16.0,10.0,4264.241841630859,4.1400465965271
26,01_,asc,20.0,32.0,10.0,4265.3549878437125,2.4858691692352295
27,01_,asc,20.0,64.0,10.0,4268.078090776859,1.4032468795776367
28,r01_,asc,3.0,1.0,10.0,7.89839507999405e-05,13.412282228469849
29,r01_,asc,3.0,2.0,10.0,7.89839507999405e-05,0.6264123916625977
30,r01_,asc,3.0,4.0,10.0,7.89839507999405e-05,0.18151450157165527
31,r01_,asc,3.0,8.0,10.0,7.89839507999405e-05,0.13962626457214355
32,r01_,asc,3.0,16.0,10.0,7.89839507999405e-05,0.06781721115112305
33,r01_,asc,3.0,32.0,10.0,7.928914993833954e-05,0.04088616371154785
34,r01_,asc,3.0,64.0,10.0,7.941924741938528e-05,0.0289304256439209
35,r01_,asc,5.0,1.0,10.0,6.83399629036511e-05,31.60994529724121
36,r01_,asc,5.0,2.0,10.0,6.835292366085723e-05,2.6204400062561035
37,r01_,asc,5.0,4.0,10.0,7.72563079719691e-05,0.47971558570861816
38,r01_,asc,5.0,8.0,10.0,7.726358085371586e-05,0.37898731231689453
39,r01_,asc,5.0,16.0,10.0,7.726358085371586e-05,0.1885232925415039
40,r01_,asc,5.0,32.0,10.0,7.72563079719691e-05,0.11267304420471191
41,r01_,asc,5.0,64.0,10.0,7.726560929663056e-05,0.06884121894836426
42,r01_,asc,10.0,1.0,10.0,5.347718195143002e-05,85.09859943389893
43,r01_,asc,10.0,2.0,10.0,5.347897722478437e-05,16.76710271835327
44,r01_,asc,10.0,4.0,10.0,5.727495265322144e-05,6.907252311706543
45,r01_,asc,10.0,8.0,10.0,5.749570056512118e-05,2.566136360168457
46,r01_,asc,10.0,16.0,10.0,5.5498147869888625e-05,1.5718212127685547
47,r01_,asc,10.0,32.0,10.0,5.511431476464771e-05,0.7475523948669434
48,r01_,asc,10.0,64.0,10.0,5.6219282461133766e-05,0.3280954360961914
49,r01_,asc,20.0,1.0,10.0,4.1431341872520856e-05,216.87925267219543
50,r01_,asc,20.0,2.0,10.0,4.148293045556581e-05,79.21467995643616
51,r01_,asc,20.0,4.0,10.0,4.225031585033076e-05,36.53425049781799
52,r01_,asc,20.0,8.0,10.0,4.3062666950274416e-05,15.451146125793457
53,r01_,asc,20.0,16.0,10.0,4.2665509256500954e-05,7.944214344024658
54,r01_,asc,20.0,32.0,10.0,4.2877538249379816e-05,3.0268783569335938
55,r01_,asc,20.0,64.0,10.0,4.3163278112146695e-05,1.1529178619384766
