,dataset_name,method,k,theta,max,SSE,Total_time
0,r01_,asc,3,1,10,7.89839507999405e-05,13.412282228469849
1,r01_,asc,3,2,10,7.89839507999405e-05,0.6264123916625977
2,r01_,asc,3,4,10,7.89839507999405e-05,0.18151450157165527
3,r01_,asc,3,8,10,7.89839507999405e-05,0.13962626457214355
4,r01_,asc,3,16,10,7.89839507999405e-05,0.06781721115112305
5,r01_,asc,3,32,10,7.928914993833954e-05,0.04088616371154785
6,r01_,asc,3,64,10,7.941924741938528e-05,0.0289304256439209
7,r01_,asc,5,1,10,6.83399629036511e-05,31.60994529724121
8,r01_,asc,5,2,10,6.835292366085723e-05,2.6204400062561035
9,r01_,asc,5,4,10,7.72563079719691e-05,0.47971558570861816
10,r01_,asc,5,8,10,7.726358085371586e-05,0.37898731231689453
11,r01_,asc,5,16,10,7.726358085371586e-05,0.1885232925415039
12,r01_,asc,5,32,10,7.72563079719691e-05,0.11267304420471191
13,r01_,asc,5,64,10,7.726560929663056e-05,0.06884121894836426
14,r01_,asc,10,1,10,5.347718195143002e-05,85.09859943389893
15,r01_,asc,10,2,10,5.347897722478437e-05,16.76710271835327
16,r01_,asc,10,4,10,5.727495265322144e-05,6.907252311706543
17,r01_,asc,10,8,10,5.749570056512118e-05,2.566136360168457
18,r01_,asc,10,16,10,5.5498147869888625e-05,1.5718212127685547
19,r01_,asc,10,32,10,5.511431476464771e-05,0.7475523948669434
20,r01_,asc,10,64,10,5.6219282461133766e-05,0.3280954360961914
21,r01_,asc,20,1,10,4.1431341872520856e-05,216.87925267219543
22,r01_,asc,20,2,10,4.148293045556581e-05,79.21467995643616
23,r01_,asc,20,4,10,4.225031585033076e-05,36.53425049781799
24,r01_,asc,20,8,10,4.3062666950274416e-05,15.451146125793457
25,r01_,asc,20,16,10,4.2665509256500954e-05,7.944214344024658
26,r01_,asc,20,32,10,4.2877538249379816e-05,3.0268783569335938
27,r01_,asc,20,64,10,4.3163278112146695e-05,1.1529178619384766
