,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_100000_d_2_seed_5,asc,3.0,1647180.6456770473,16.168755054473877
1,Syn_n_100000_d_2_seed_5,asc,5.0,1646967.5343504944,60.79889726638794
2,Syn_n_100000_d_2_seed_5,asc,10.0,1646475.9452681635,151.07542729377747
3,Syn_n_100000_d_2_seed_5,asc,20.0,1645476.8975575084,225.26631450653076
4,Syn_n_100000_d_2_seed_6,asc,3.0,1651347.0104691419,38.34797501564026
5,Syn_n_100000_d_2_seed_6,asc,5.0,1651142.9843454836,106.2298378944397
6,Syn_n_100000_d_2_seed_6,asc,10.0,1650618.3298982652,192.6294298171997
7,Syn_n_100000_d_2_seed_6,asc,20.0,1649620.8276830963,280.3116068840027
8,Syn_n_100000_d_2_seed_7,asc,3.0,1654299.9938894836,7.849982261657715
9,Syn_n_100000_d_2_seed_7,asc,5.0,1654096.6173096565,83.07992768287659
10,Syn_n_100000_d_2_seed_7,asc,10.0,1653567.1090745665,155.40657901763916
11,Syn_n_100000_d_2_seed_7,asc,20.0,1652665.0057611412,243.97327494621277
12,Syn_n_100000_d_2_seed_8,asc,3.0,1648326.489631668,5.310029029846191
13,Syn_n_100000_d_2_seed_8,asc,5.0,1648122.4668736453,38.78277802467346
14,Syn_n_100000_d_2_seed_8,asc,10.0,1647582.8905906077,98.60172653198242
15,Syn_n_100000_d_2_seed_8,asc,20.0,1646620.2067073025,159.52037000656128
16,Syn_n_100000_d_2_seed_9,asc,3.0,1648906.8727724107,40.970046043395996
17,Syn_n_100000_d_2_seed_9,asc,5.0,1648693.6269872535,89.17664289474487
18,Syn_n_100000_d_2_seed_9,asc,10.0,1648204.8184179775,150.51107335090637
19,Syn_n_100000_d_2_seed_9,asc,20.0,1647252.743030839,265.4178817272186
