,dataset_name,method,k,SSE_a,Total_time_a
0,Syn_n_50000_d_2_seed_0,asc,3.0,824114.7761229123,2.4305083751678467
1,Syn_n_50000_d_2_seed_0,asc,5.0,823905.2170225929,8.015582799911499
2,Syn_n_50000_d_2_seed_0,asc,10.0,823435.2593728167,15.793792009353638
3,Syn_n_50000_d_2_seed_0,asc,20.0,822490.2486048297,25.931185007095337
4,Syn_n_50000_d_2_seed_1,asc,3.0,824626.3577451806,9.703680753707886
5,Syn_n_50000_d_2_seed_1,asc,5.0,824427.2148058439,25.4479660987854
6,Syn_n_50000_d_2_seed_1,asc,10.0,823934.9990352839,49.813456535339355
7,Syn_n_50000_d_2_seed_1,asc,20.0,822978.0599269319,87.28360843658447
8,Syn_n_50000_d_2_seed_2,asc,3.0,829288.6495423694,10.568241357803345
9,Syn_n_50000_d_2_seed_2,asc,5.0,829068.6274391734,26.001458644866943
10,Syn_n_50000_d_2_seed_2,asc,10.0,828557.4987821216,82.74911570549011
11,Syn_n_50000_d_2_seed_2,asc,20.0,827628.7494694139,109.89242625236511
12,Syn_n_50000_d_2_seed_3,asc,3.0,824047.3949324419,5.701779127120972
13,Syn_n_50000_d_2_seed_3,asc,5.0,823830.3780269185,20.162579774856567
14,Syn_n_50000_d_2_seed_3,asc,10.0,823328.2086625642,40.63671827316284
15,Syn_n_50000_d_2_seed_3,asc,20.0,822434.1374471256,63.760050535202026
16,Syn_n_50000_d_2_seed_4,asc,3.0,830533.759316792,1.6884841918945312
17,Syn_n_50000_d_2_seed_4,asc,5.0,830310.7750996249,10.787657499313354
18,Syn_n_50000_d_2_seed_4,asc,10.0,829854.0503557079,26.265662670135498
19,Syn_n_50000_d_2_seed_4,asc,20.0,828986.4211300196,42.71996092796326
20,Syn_n_50000_d_2_seed_5,asc,3.0,825348.2251046016,3.6791679859161377
21,Syn_n_50000_d_2_seed_5,asc,5.0,825144.3183650571,10.720552921295166
22,Syn_n_50000_d_2_seed_5,asc,10.0,824665.896456961,27.502055883407593
23,Syn_n_50000_d_2_seed_5,asc,20.0,823745.4366632635,53.489349126815796
24,Syn_n_50000_d_2_seed_6,asc,3.0,825616.5346881888,4.69779634475708
25,Syn_n_50000_d_2_seed_6,asc,5.0,825420.9504333392,18.01532530784607
26,Syn_n_50000_d_2_seed_6,asc,10.0,824889.2058726121,40.82868003845215
27,Syn_n_50000_d_2_seed_6,asc,20.0,823945.5756459597,65.18739151954651
28,Syn_n_50000_d_2_seed_7,asc,3.0,827037.574863321,1.3354275226593018
29,Syn_n_50000_d_2_seed_7,asc,5.0,826832.4075217842,17.98462462425232
30,Syn_n_50000_d_2_seed_7,asc,10.0,826375.548319638,38.35050845146179
31,Syn_n_50000_d_2_seed_7,asc,20.0,825552.7438046552,75.65296840667725
32,Syn_n_50000_d_2_seed_8,asc,3.0,822868.6349023359,1.5468652248382568
33,Syn_n_50000_d_2_seed_8,asc,5.0,822636.8635329925,8.026645421981812
34,Syn_n_50000_d_2_seed_8,asc,10.0,822193.6264668572,20.243436813354492
35,Syn_n_50000_d_2_seed_8,asc,20.0,821261.3373199018,34.621023416519165
36,Syn_n_50000_d_2_seed_9,asc,3.0,827271.9335505606,11.219646215438843
37,Syn_n_50000_d_2_seed_9,asc,5.0,827090.7130816048,33.16432452201843
38,Syn_n_50000_d_2_seed_9,asc,10.0,826618.5598310543,58.23537039756775
39,Syn_n_50000_d_2_seed_9,asc,20.0,825662.4183403723,97.86780953407288
