,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_0,20.0,1.01,20.0,822470.7707060463,822470.7707060416,406.3277449607849,123.67404222488403,3.285473149021316,-5.661736609897936e-13
1,Syn_n_50000_d_2_seed_0,20.0,1.05,20.0,822470.7707060463,822470.7707060416,391.00865268707275,75.64310765266418,5.169124654191825,-5.661736609897936e-13
2,Syn_n_50000_d_2_seed_0,20.0,1.1,20.0,822470.7707060463,822470.7707060416,388.0275945663452,58.53783202171326,6.628663569611108,-5.661736609897936e-13
3,Syn_n_50000_d_2_seed_0,20.0,1.2,20.0,822470.7707060463,822470.7707060416,385.67528915405273,47.3657808303833,8.142487728327643,-5.661736609897936e-13
4,Syn_n_50000_d_2_seed_0,20.0,1.5,20.0,822470.7707060463,822470.7707060416,385.4425551891327,38.77521562576294,9.940436151515243,-5.661736609897936e-13
5,Syn_n_50000_d_2_seed_0,20.0,2.0,20.0,822470.7707060463,822470.7707060416,384.5261244773865,35.16563272476196,10.934713658845146,-5.661736609897936e-13
6,Syn_n_50000_d_2_seed_0,20.0,5.0,20.0,822470.7707060463,822470.770706042,385.7970838546753,29.393978595733643,13.125037925647513,-5.23710636415559e-13
7,Syn_n_50000_d_2_seed_0,20.0,10.0,20.0,822470.7707060463,822480.3915400174,385.6782057285309,26.75961136817932,14.412698316955108,0.0011697478273822962
8,Syn_n_50000_d_2_seed_0,20.0,20.0,20.0,822470.7707060463,822488.446307223,387.70379066467285,26.957133531570435,14.382233563914333,0.002149085633964548
9,Syn_n_50000_d_2_seed_0,20.0,50.0,20.0,822470.7707060463,822492.0665868111,388.8623254299164,20.311863660812378,19.144591157341576,0.0025892568494024276
10,Syn_n_50000_d_2_seed_1,20.0,1.01,20.0,822968.0658165881,822968.0658165761,388.91254925727844,144.63482475280762,2.6889274413818445,-1.4570162131718276e-12
11,Syn_n_50000_d_2_seed_1,20.0,1.05,20.0,822968.0658165881,822968.0658165761,384.0234730243683,125.12237048149109,3.069183164821638,-1.4570162131718276e-12
12,Syn_n_50000_d_2_seed_1,20.0,1.1,20.0,822968.0658165881,822973.1119851,382.7627685070038,109.07857584953308,3.5090554265669964,0.0006131669892734877
13,Syn_n_50000_d_2_seed_1,20.0,1.2,20.0,822968.0658165881,822973.1119851,394.61962509155273,99.65046906471252,3.9600378081039307,0.0006131669892734877
14,Syn_n_50000_d_2_seed_1,20.0,1.5,20.0,822968.0658165881,822973.1119851,388.1839668750763,90.47439432144165,4.290539547531186,0.0006131669892734877
