,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_9,20,1.01,20,825649.5184304834,825649.5184304799,386.1303029060364,146.38357543945312,2.6377980025890735,-4.2299542079877037e-13
1,Syn_n_50000_d_2_seed_9,20,1.05,20,825649.5184304834,825649.5184304799,385.737576007843,119.24813032150269,3.234747370611707,-4.2299542079877037e-13
2,Syn_n_50000_d_2_seed_9,20,1.1,20,825649.5184304834,825649.5184304799,391.23677158355713,109.22534370422363,3.5819230072006483,-4.2299542079877037e-13
3,Syn_n_50000_d_2_seed_9,20,1.2,20,825649.5184304834,825649.5184304799,386.8086326122284,102.32543134689331,3.7801808164473694,-4.2299542079877037e-13
4,Syn_n_50000_d_2_seed_9,20,1.5,20,825649.5184304834,825649.5184304799,389.3393015861511,94.45685696601868,4.121874410094101,-4.2299542079877037e-13
5,Syn_n_50000_d_2_seed_9,20,2.0,20,825649.5184304834,825649.5184304799,388.58336329460144,91.38406777381897,4.252200331641709,-4.2299542079877037e-13
6,Syn_n_50000_d_2_seed_9,20,5.0,20,825649.5184304834,825653.3709643382,386.032723903656,86.69913840293884,4.45255548111157,0.0004666064436276132
7,Syn_n_50000_d_2_seed_9,20,10.0,20,825649.5184304834,825656.3827319351,386.3143026828766,89.2118546962738,4.330302334797352,0.0008313819966568124
8,Syn_n_50000_d_2_seed_9,20,20.0,20,825649.5184304834,825663.2400791578,386.50753831863403,89.21736073493958,4.332200987954901,0.0016619217195724873
9,Syn_n_50000_d_2_seed_9,20,50.0,20,825649.5184304834,825671.9679388921,386.6687366962433,75.68602848052979,5.108852247356508,0.0027190118697509725
