dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,1.01,10,822470.7707,822470.7707,448.3520799,195.6347895,2.291780931,-5.66E-13,,1.01,2.437
Syn_n_50000_d_2_seed_1,20,1.01,10,822968.0658,822968.0658,433.7196565,201.4707804,2.152767045,-1.46E-12,,1.05,3.517
Syn_n_50000_d_2_seed_2,20,1.01,10,827592.0665,827592.0665,431.2183025,188.8060315,2.283922283,-3.52E-13,,1.1,4.08
Syn_n_50000_d_2_seed_3,20,1.01,10,822430.1289,822430.1289,431.2066712,177.0465372,2.435555522,-1.84E-13,,1.2,4.703
Syn_n_50000_d_2_seed_4,20,1.01,10,828915.102,828915.102,422.4480054,169.525631,2.491941797,-3.09E-13,,1.5,5.238
Syn_n_50000_d_2_seed_5,20,1.01,10,823692.9236,823692.9236,418.290777,160.4673772,2.606702897,-6.93E-13,,2,5.713
Syn_n_50000_d_2_seed_6,20,1.01,10,823930.0055,823930.383,418.7102237,185.2715173,2.25998162,4.58E-05,,5,6.225
Syn_n_50000_d_2_seed_7,20,1.01,10,825512.1283,825512.1283,406.1818326,154.543221,2.628273372,-3.38E-13,,10,6.417
Syn_n_50000_d_2_seed_8,20,1.01,10,821197.6594,821197.6594,406.3026116,141.701638,2.867310621,-2.41E-13,,20,7.059
Syn_n_50000_d_2_seed_9,20,1.01,10,825649.5184,825649.5184,406.4017422,172.711277,2.353070102,-4.23E-13,,50,8.513
average,,,,824435.8369,824435.8747,422.2831903,174.71788,2.437130619,4.58E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.05,10,822470.7707,822470.7707,459.4684019,116.8435133,3.932339838,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.05,10,822968.0658,822968.0658,439.6184742,168.7170782,2.605654857,-1.46E-12,,,
Syn_n_50000_d_2_seed_2,20,1.05,10,827592.0665,827592.0665,431.8257477,158.2817094,2.728210033,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.05,10,822430.1289,822430.1289,430.994509,117.8603485,3.656823644,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.05,10,828915.102,828915.102,423.1588311,112.0459404,3.776654733,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.05,10,823692.9236,823692.9236,420.3306458,102.8823705,4.08554589,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.05,10,823930.0055,823930.383,419.6287496,136.1426518,3.082272485,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.05,10,825512.1283,825512.1283,407.5551584,102.9846735,3.957435068,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.05,10,821197.6594,821197.6594,407.8415513,90.16091132,4.523485237,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.05,10,825649.5184,825649.5184,406.1853685,143.7142982,2.826339296,-4.23E-13,,,
average,,,,824435.8369,824435.8747,424.6607438,124.9633495,3.517476108,4.58E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.1,10,822470.7707,822470.7707,458.1679957,93.65456223,4.892105465,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.1,10,822968.0658,822973.112,436.8151145,151.0206027,2.892420681,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.1,10,827592.0665,827592.0665,434.9530871,149.7496207,2.904535485,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.1,10,822430.1289,822430.1289,428.7947228,102.633095,4.177938146,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.1,10,828915.102,828915.102,420.6755106,98.23283672,4.282432684,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.1,10,823692.9236,823692.9236,418.5314825,79.10744381,5.290671298,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.1,10,823930.0055,823930.383,418.6282504,119.0334299,3.516896479,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.1,10,825512.1283,825512.1283,407.1857362,92.46972919,4.403448996,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.1,10,821197.6594,821197.6594,406.0470636,75.98739481,5.3436108,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.1,10,825649.5184,825649.5184,405.9883502,131.0222337,3.098621803,-4.23E-13,,,
average,,,,824435.8369,824436.3793,423.5787313,109.2910949,4.080268184,6.59E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.2,10,822470.7707,822470.7707,456.8959172,65.66838098,6.957624208,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.2,10,822968.0658,822973.112,435.2211332,137.0440011,3.17577661,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.2,10,827592.0665,827592.0665,430.8852654,143.5480912,3.001678823,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.2,10,822430.1289,822430.1289,427.9746025,88.67685294,4.82622678,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.2,10,828915.102,828915.102,427.401777,86.51114774,4.940424306,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.2,10,823692.9236,823692.9236,420.8470433,69.82546973,6.027127993,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.2,10,823930.0055,823930.383,419.3945861,109.2318759,3.839489001,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.2,10,825512.1283,825512.1283,408.1356766,83.94033408,4.862211726,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.2,10,821197.6594,821197.6594,407.3248417,68.0881207,5.982318759,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.2,10,825649.5184,825649.5184,406.5688789,119.0555732,3.414950412,-4.23E-13,,,
average,,,,824435.8369,824436.3793,424.0649722,97.15898476,4.702782862,6.59E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.5,10,822470.7707,822470.7707,438.9364378,53.2765336,8.238832524,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.5,10,822968.0658,822973.112,433.797931,126.6707432,3.424610292,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.5,10,827592.0665,827592.0665,434.1111555,134.2721968,3.233068096,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.5,10,822430.1289,822430.1289,429.772892,82.44805908,5.212650204,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.5,10,828915.102,828915.102,424.6175094,77.24640203,5.496922811,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.5,10,823692.9236,823692.9236,420.0428152,60.76399207,6.912692878,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.5,10,823930.0055,823930.383,419.3195686,103.5021946,4.051310893,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.5,10,825512.1283,825512.1283,407.0846493,76.36141825,5.331025257,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.5,10,821197.6594,821197.6594,407.2116406,59.56220675,6.83674536,-2.41E-13,,,
