dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap,,theta,speed_up
Syn_n_50000_d_2_seed_0,20,1.01,5,822470.7707,822470.7707,400.5906346,129.0441957,3.104290221,-5.66E-13,,1.01,2.6
Syn_n_50000_d_2_seed_1,20,1.01,5,822968.0658,822968.0658,399.2889075,158.5285139,2.518719804,-1.46E-12,,1.05,3.71
Syn_n_50000_d_2_seed_2,20,1.01,5,827592.0665,827592.0665,399.6746161,144.9444182,2.75743365,-3.52E-13,,1.1,4.29
Syn_n_50000_d_2_seed_3,20,1.01,5,822430.1289,822430.1289,403.1754131,138.3200717,2.914800493,-1.84E-13,,1.2,4.68
Syn_n_50000_d_2_seed_4,20,1.01,5,828915.102,828915.102,433.0450199,174.067982,2.487792499,-3.09E-13,,1.5,5.27
Syn_n_50000_d_2_seed_5,20,1.01,5,823692.9236,823692.9236,437.0846467,160.8543727,2.717269287,-6.93E-13,,2,5.8
Syn_n_50000_d_2_seed_6,20,1.01,5,823930.0055,823930.383,434.5805657,187.9369466,2.312374302,4.58E-05,,5,6.38
Syn_n_50000_d_2_seed_7,20,1.01,5,825512.1283,825512.1283,428.2642937,179.067992,2.391629509,-3.38E-13,,10,6.82
Syn_n_50000_d_2_seed_8,20,1.01,5,821197.6594,821197.6594,424.9096527,157.4998808,2.697841107,-2.41E-13,,20,7.16
Syn_n_50000_d_2_seed_9,20,1.01,5,825649.5184,825649.5184,418.707665,194.9440966,2.147834545,-4.23E-13,,50,8.41
average,,,,824435.8369,824435.8747,417.9321415,162.520847,2.604998542,4.58E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.05,5,822470.7707,822470.7707,400.5143492,78.30387735,5.114872504,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.05,5,822968.0658,822968.0658,398.2945187,133.1640403,2.991006564,-1.46E-12,,,
Syn_n_50000_d_2_seed_2,20,1.05,5,827592.0665,827592.0665,399.7160175,122.700371,3.257659403,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.05,5,822430.1289,822430.1289,400.6491799,89.85122609,4.459028523,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.05,5,828915.102,828915.102,431.5224726,118.4506781,3.643056161,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.05,5,823692.9236,823692.9236,436.1328521,100.1231723,4.355963181,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.05,5,823930.0055,823930.383,432.5437932,141.765846,3.051114252,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.05,5,825512.1283,825512.1283,427.0712667,122.068558,3.498618102,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.05,5,821197.6594,821197.6594,421.502655,100.3436399,4.200591643,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.05,5,825649.5184,825649.5184,418.5872416,163.8981724,2.553946976,-4.23E-13,,,
average,,,,824435.8369,824435.8747,416.6534347,117.0669581,3.712585731,4.58E-06,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.1,5,822470.7707,822470.7707,399.3400583,62.95615649,6.343145461,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.1,5,822968.0658,822973.112,398.6183937,116.7682176,3.41375763,0.000613167,,,
Syn_n_50000_d_2_seed_2,20,1.1,5,827592.0665,827592.0665,400.1177425,116.2286477,3.442505358,-3.52E-13,,,
Syn_n_50000_d_2_seed_3,20,1.1,5,822430.1289,822430.1289,404.8332121,83.48778462,4.849011313,-1.84E-13,,,
Syn_n_50000_d_2_seed_4,20,1.1,5,828915.102,828915.102,432.3307626,102.8171186,4.204851958,-3.93E-13,,,
Syn_n_50000_d_2_seed_5,20,1.1,5,823692.9236,823692.9236,434.1660659,80.73160505,5.377894638,-6.93E-13,,,
Syn_n_50000_d_2_seed_6,20,1.1,5,823930.0055,823930.383,433.1837132,123.3808956,3.510946415,4.58E-05,,,
Syn_n_50000_d_2_seed_7,20,1.1,5,825512.1283,825512.1283,425.8073859,103.2164712,4.125382131,-3.38E-13,,,
Syn_n_50000_d_2_seed_8,20,1.1,5,821197.6594,821197.6594,420.8356133,87.63317418,4.8022409,-2.41E-13,,,
Syn_n_50000_d_2_seed_9,20,1.1,5,825649.5184,825649.5184,416.6540034,149.4128959,2.788608044,-4.23E-13,,,
average,,,,824435.8369,824436.3793,416.5886951,102.6632967,4.285834385,6.59E-05,,,
,,,,,,,,,,,,
Syn_n_50000_d_2_seed_0,20,1.2,5,822470.7707,822470.7707,400.0566244,52.44814563,7.627660037,-5.66E-13,,,
Syn_n_50000_d_2_seed_1,20,1.2,5,822968.0658,822973.112,398.5668516,109.0277462,3.655646067,0.000613167,,,
