,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_0,20,1.01,5,822470.7707060463,822470.7707060416,392.74708819389343,124.17196655273438,3.162928792201244,-5.661736609897936e-13
1,Syn_n_50000_d_2_seed_0,20,1.01,10,822470.7707060463,822470.7707060416,401.9485306739807,127.00259804725647,3.1648843161808347,-5.661736609897936e-13
2,Syn_n_50000_d_2_seed_0,20,1.01,20,822470.7707060463,822470.7707060416,401.48271584510803,127.21016526222229,3.156058440907762,-5.661736609897936e-13
3,Syn_n_50000_d_2_seed_0,20,1.01,50,822470.7707060463,822470.7707060416,399.1705389022827,129.19006204605103,3.0897929189011037,-5.661736609897936e-13
4,Syn_n_50000_d_2_seed_0,20,1.05,5,822470.7707060463,822470.7707060416,400.4599175453186,80.23986911773682,4.990784780041446,-5.661736609897936e-13
5,Syn_n_50000_d_2_seed_0,20,1.05,10,822470.7707060463,822470.7707060416,400.41639161109924,80.71535921096802,4.960845067473708,-5.661736609897936e-13
6,Syn_n_50000_d_2_seed_0,20,1.05,20,822470.7707060463,822470.7707060416,399.765310049057,80.85824656486511,4.944026454102763,-5.661736609897936e-13
7,Syn_n_50000_d_2_seed_0,20,1.05,50,822470.7707060463,822470.7707060416,399.8655409812927,79.80459189414978,5.010558058008258,-5.661736609897936e-13
8,Syn_n_50000_d_2_seed_0,20,1.1,5,822470.7707060463,822470.7707060416,400.1486814022064,62.756712436676025,6.376189348764438,-5.661736609897936e-13
9,Syn_n_50000_d_2_seed_0,20,1.1,10,822470.7707060463,822470.7707060416,402.34732580184937,62.87936329841614,6.398718191409932,-5.661736609897936e-13
10,Syn_n_50000_d_2_seed_0,20,1.1,20,822470.7707060463,822470.7707060416,399.0489649772644,64.52645182609558,6.184269453599218,-5.661736609897936e-13
11,Syn_n_50000_d_2_seed_0,20,1.1,50,822470.7707060463,822470.7707060416,399.76202297210693,64.05319833755493,6.241093861783371,-5.661736609897936e-13
12,Syn_n_50000_d_2_seed_0,20,1.2,5,822470.7707060463,822470.7707060416,399.0580213069916,51.93809270858765,7.683339924436805,-5.661736609897936e-13
13,Syn_n_50000_d_2_seed_0,20,1.2,10,822470.7707060463,822470.7707060416,398.9212386608124,52.49914360046387,7.598623735593424,-5.661736609897936e-13
14,Syn_n_50000_d_2_seed_0,20,1.2,20,822470.7707060463,822470.7707060416,400.4344902038574,52.10469436645508,7.685190270718803,-5.661736609897936e-13
15,Syn_n_50000_d_2_seed_0,20,1.2,50,822470.7707060463,822470.7707060416,401.6804361343384,51.87628650665283,7.7430452945552535,-5.661736609897936e-13
16,Syn_n_50000_d_2_seed_0,20,1.5,5,822470.7707060463,822470.7707060416,401.14849042892456,42.14730143547058,9.517774015570154,-5.661736609897936e-13
17,Syn_n_50000_d_2_seed_0,20,1.5,10,822470.7707060463,822470.7707060416,399.73979330062866,41.810707330703735,9.560703915838308,-5.661736609897936e-13
18,Syn_n_50000_d_2_seed_0,20,1.5,20,822470.7707060463,822470.7707060416,400.21837043762207,41.351431131362915,9.67846479523842,-5.661736609897936e-13
19,Syn_n_50000_d_2_seed_0,20,1.5,50,822470.7707060463,822470.7707060416,401.40253138542175,42.22404479980469,9.506491698949658,-5.661736609897936e-13
20,Syn_n_50000_d_2_seed_0,20,2.0,5,822470.7707060463,822470.7707060416,400.6532824039459,36.956702709198,10.84115337768564,-5.661736609897936e-13
21,Syn_n_50000_d_2_seed_0,20,2.0,10,822470.7707060463,822470.7707060416,399.6228737831116,36.76963257789612,10.868285750109532,-5.661736609897936e-13
