,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_1,20,1.01,10,822968.0658165881,822968.0658165761,433.71965646743774,201.47078037261963,2.1527670447559415,-1.4570162131718276e-12
1,Syn_n_50000_d_2_seed_1,20,1.05,10,822968.0658165881,822968.0658165761,439.6184742450714,168.71707820892334,2.6056548567104114,-1.4570162131718276e-12
2,Syn_n_50000_d_2_seed_1,20,1.1,10,822968.0658165881,822973.1119851,436.8151144981384,151.02060270309448,2.892420680884939,0.0006131669892734877
3,Syn_n_50000_d_2_seed_1,20,1.2,10,822968.0658165881,822973.1119851,435.2211332321167,137.0440011024475,3.175776609928123,0.0006131669892734877
4,Syn_n_50000_d_2_seed_1,20,1.5,10,822968.0658165881,822973.1119851,433.79793095588684,126.670743227005,3.4246102920426003,0.0006131669892734877
5,Syn_n_50000_d_2_seed_1,20,2.0,10,822968.0658165881,822988.253933615,446.1907274723053,104.01532292366028,4.289663435451496,0.00245308631834965
6,Syn_n_50000_d_2_seed_1,20,5.0,10,822968.0658165881,822992.3896267881,435.5163106918335,100.02851724624634,4.353921488406114,0.0029556201765664944
7,Syn_n_50000_d_2_seed_1,20,10.0,10,822968.0658165881,822995.0912332347,434.30515480041504,103.41080641746521,4.199804351656855,0.0032838961521310657
8,Syn_n_50000_d_2_seed_1,20,20.0,10,822968.0658165881,822978.0599269319,433.6275486946106,98.10762333869934,4.419916964022129,0.0012143983173670714
9,Syn_n_50000_d_2_seed_1,20,50.0,10,822968.0658165881,822984.1864905192,432.2582449913025,92.05654120445251,4.695573387134768,0.0019588456224108363
