,dataset_name,k,theta,max,SSE_b,SSE_a,Total_time_b,Total_time_a,speed_up,Gap
0,Syn_n_50000_d_2_seed_8,20,1.01,5,821197.6594192045,821197.6594192025,424.90965270996094,157.49988079071045,2.697841106778937,-2.409968475138605e-13
1,Syn_n_50000_d_2_seed_8,20,1.05,5,821197.6594192045,821197.6594192025,421.5026550292969,100.34363985061646,4.200591643444429,-2.409968475138605e-13
2,Syn_n_50000_d_2_seed_8,20,1.1,5,821197.6594192045,821197.6594192025,420.8356132507324,87.6331741809845,4.802240900022648,-2.409968475138605e-13
3,Syn_n_50000_d_2_seed_8,20,1.2,5,821197.6594192045,821197.6594192025,420.10736560821533,80.16618418693542,5.2404560584870605,-2.409968475138605e-13
4,Syn_n_50000_d_2_seed_8,20,1.5,5,821197.6594192045,821197.6594192025,419.7558569908142,69.7499577999115,6.018008759158659,-2.409968475138605e-13
5,Syn_n_50000_d_2_seed_8,20,2.0,5,821197.6594192045,821197.6594192025,421.5005648136139,62.85090184211731,6.706356670464833,-2.409968475138605e-13
6,Syn_n_50000_d_2_seed_8,20,5.0,5,821197.6594192045,821204.9195965428,421.98078179359436,55.21532344818115,7.642457843964596,0.0008840962045013897
7,Syn_n_50000_d_2_seed_8,20,10.0,5,821197.6594192045,821219.4230862528,421.1263062953949,46.983848571777344,8.963214361889474,0.0026502349097897804
8,Syn_n_50000_d_2_seed_8,20,20.0,5,821197.6594192045,821254.0251182134,420.6658103466034,40.02894163131714,10.509041538522474,0.006863840679817204
9,Syn_n_50000_d_2_seed_8,20,50.0,5,821197.6594192045,821273.8715146016,419.4777600765228,42.24603080749512,9.929400515470457,0.009280603095127744
