,dataset_name,method,k,SSE_b,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,1,normalized_50k,3,1566.885158,4,10,1566.885158,7.924979687,1566.885158,30.31712914,3.825515059,-1.31E-12
1,1,normalized_50k,4,1530.393634,4,10,1530.393634,12.10446548,1530.393634,43.86210108,3.623629737,-2.97E-13
2,1,normalized_50k,5,1514.242597,4,10,1514.242597,15.73179388,1514.242597,59.00847864,3.75090591,-3.00E-13
3,1,normalized_50k,6,1482.42728,4,10,1482.42728,21.28222919,1482.42728,73.540874,3.455506158,-3.37E-13
4,1,normalized_50k,7,1469.94846,4,10,1469.94846,24.53664827,1469.94846,95.32790804,3.885123468,-2.01E-12
5,1,normalized_50k,8,1457.823425,4,10,1459.39842,26.98202324,1457.823425,110.150872,4.082379999,0.108037452
6,1,normalized_50k,9,1447.336718,4,10,1448.911721,27.53329778,1447.336718,126.3325315,4.588354525,0.108820775
7,1,normalized_50k,10,1438.218412,4,10,1439.793415,30.19593,1438.218412,132.7268293,4.395520498,0.109510698
8,1,normalized_50k,11,1429.266302,4,10,1430.841305,35.98731112,1429.266302,148.3848512,4.123254741,0.110196611
9,1,normalized_50k,12,1420.478786,4,10,1422.055281,37.58327174,1420.478786,173.2057691,4.608586774,0.110983378
10,1,normalized_50k,13,1411.850371,4,10,1413.486766,36.10833979,1411.850371,184.1365016,5.099556021,0.11590432
11,1,normalized_50k,14,1403.124247,4,10,1404.700743,42.55550003,1403.124247,196.5047529,4.617611184,0.112356076
12,1,normalized_50k,15,1397.36938,4,10,1398.547014,44.48054028,1397.36938,220.5360398,4.958034198,0.084275057
13,1,normalized_50k,16,1389.57023,4,10,1391.332392,45.77842999,1389.57023,237.0370395,5.177919811,0.126813443
14,1,normalized_50k,17,1383.815362,4,10,1385.178663,44.0026598,1383.815362,251.2859907,5.710700032,0.098517504
15,1,normalized_50k,18,1376.029668,4,10,1379.1001,50.66842222,1376.029668,257.2678962,5.077479915,0.223137036
16,1,normalized_50k,19,1370.433568,4,10,1372.946371,52.93537235,1370.433568,284.2954617,5.370614185,0.183358215
17,1,normalized_50k,20,1362.647874,4,10,1367.044131,54.39101076,1362.647874,300.0955288,5.517373637,0.322626059
