,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,r01,normalized_50k,3,4,10,368.3415162,19.57861662,368.3415162,44.83104563,2.289796389,-2.93E-13
1,r01,normalized_50k,4,4,10,328.2451039,37.92014265,328.2451039,65.73776364,1.733584292,1.04E-13
2,r01,normalized_50k,5,4,10,300.9582575,47.55333662,300.9582575,85.99321675,1.808352954,-7.74E-13
3,r01,normalized_50k,6,4,10,254.4586738,56.5224576,254.4586738,109.3825541,1.935205203,-1.79E-13
4,r01,normalized_50k,7,4,10,245.5224169,62.60074043,245.0491712,123.4912322,1.972680056,0.193122744
5,r01,normalized_50k,8,4,10,227.64763,77.15239739,227.64763,153.6161561,1.991074306,-4.49E-13
6,r01,normalized_50k,9,4,10,221.5287354,87.15137053,221.1332939,180.8983443,2.075679857,0.178824951
7,r01,normalized_50k,10,4,10,207.1667246,95.53500009,207.1667246,201.3093674,2.107179225,-1.21E-12
8,r01,normalized_50k,11,4,10,196.9288714,105.1453211,196.9288714,225.7218459,2.146760725,-1.01E-12
9,r01,normalized_50k,12,4,10,185.6060821,106.7628767,185.6060821,247.470346,2.317943779,-1.35E-12
10,r01,normalized_50k,13,4,10,175.5229797,113.2655687,175.5229797,243.6861188,2.151458043,-8.42E-13
11,r01,normalized_50k,14,4,10,169.4520202,122.9324269,169.0086436,267.9262011,2.179459137,0.262339624
12,r01,normalized_50k,15,4,10,164.0084824,130.0015397,163.5580867,285.5122762,2.196222266,0.275373533
13,r01,normalized_50k,16,4,10,157.5066595,145.8617561,157.0562638,303.896028,2.083452415,0.28677346
14,r01,normalized_50k,17,4,10,151.9362638,147.0627654,151.4903647,325.3812971,2.212533515,0.294341598
15,r01,normalized_50k,18,4,10,147.0672315,156.4712267,145.7523979,349.6789131,2.234780928,0.902100812
16,r01,normalized_50k,19,4,10,140.8928631,163.5294046,139.679273,360.9001837,2.206943665,0.868840479
17,r01,normalized_50k,20,4,10,135.3224674,171.0757692,134.1133739,385.4751964,2.253242515,0.90154584
