,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,sel102,normalized_50k,3,4,10,639.426248808313,6.27379298210144,639.4262488083177,23.826286554336548,3.797748287568744,-7.467393140657948e-13
1,sel102,normalized_50k,4,4,10,636.6857334671387,11.271846055984497,636.6857334671436,34.77806305885315,3.0853919478778393,-7.67809574655997e-13
2,sel102,normalized_50k,5,4,10,633.9979752070576,15.75183367729187,633.9979752070592,45.79407262802124,2.907221696610396,-2.510442919920705e-13
3,sel102,normalized_50k,6,4,10,631.6280836839003,19.528037071228027,631.6280836839014,57.15595078468323,2.926866155374876,-1.7999015664178522e-13
4,sel102,normalized_50k,7,4,10,629.7032602803874,23.273294687271118,629.6347747570289,68.35921025276184,2.937238202468583,0.010877023649929759
5,sel102,normalized_50k,8,4,10,627.7859199531856,29.90985345840454,627.785919953187,79.60513663291931,2.6615020613065092,-2.1731007486773862e-13
6,sel102,normalized_50k,9,4,10,625.8610965496727,33.23859882354736,625.7926110263146,98.21333026885986,2.954797546979693,0.010943805048405954
7,sel102,normalized_50k,10,4,10,624.1346632697761,37.7930908203125,624.0661777464186,110.15889048576355,2.9147891345938,0.010974080281804513
8,sel102,normalized_50k,11,4,10,622.1599815090726,38.266594648361206,622.0914959857149,116.53084349632263,3.0452368329909163,0.011008914894294074
9,sel102,normalized_50k,12,4,10,620.2924995390614,40.5197057723999,620.2240140157041,125.71895575523376,3.1026621086885466,0.011042062514451332
10,sel102,normalized_50k,13,4,10,618.3178177783578,43.836390256881714,618.2493322550005,136.63489842414856,3.116928597985979,0.01107733074414707
11,sel102,normalized_50k,14,4,10,616.6318873558845,45.965254068374634,616.63188735589,149.83910751342773,3.25983420630152,-8.84963674849347e-13
12,sel102,normalized_50k,15,4,10,614.7009833295292,47.850038051605225,614.7009833295332,157.44728231430054,3.290431705498271,-6.473129908958434e-13
13,sel102,normalized_50k,16,4,10,612.990672998519,51.96166443824768,612.9906729985213,169.94489645957947,3.270582232051968,-3.709251795480101e-13
14,sel102,normalized_50k,17,4,10,611.5659074005036,53.592223167419434,611.5659074005083,182.02369117736816,3.396457180153457,-7.621681147006305e-13
15,sel102,normalized_50k,18,4,10,609.8555970694933,56.14932060241699,609.8555970694964,192.73815822601318,3.4326000058087365,-5.033231855595877e-13
16,sel102,normalized_50k,19,4,10,608.4482698938168,59.9494686126709,608.4482698938194,206.39796352386475,3.442865604987874,-4.297484925141587e-13
17,sel102,normalized_50k,20,4,10,606.7578382389573,62.15013933181763,606.7578382389594,217.10413718223572,3.493220441922481,-3.372619107696091e-13
