,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,sel102,normalized_50k,3,1,10,639.426248808313,7.47597074508667,639.4262488083177,23.18551731109619,3.1013386892042205,-7.467393140657948e-13
1,sel102,normalized_50k,3,64,10,639.426248808313,6.571389198303223,639.4262488083177,22.753175020217896,3.4624604225378888,-7.467393140657948e-13
2,sel102,normalized_50k,4,1,10,636.6857334671387,14.481265544891357,636.6857334671436,34.52668023109436,2.384230861872051,-7.67809574655997e-13
3,sel102,normalized_50k,4,64,10,636.6857334671387,9.99523377418518,636.6857334671436,35.35754728317261,3.537440752460538,-7.67809574655997e-13
4,sel102,normalized_50k,5,1,10,633.9979752070576,21.985225439071655,633.9979752070592,46.3012261390686,2.106015526990371,-2.510442919920705e-13
5,sel102,normalized_50k,5,64,10,633.9979752070576,13.551748991012573,633.9979752070592,46.42883515357971,3.4260400767731896,-2.510442919920705e-13
6,sel102,normalized_50k,6,1,10,631.6280836839003,27.479150772094727,631.6280836839014,57.841899156570435,2.104937653870632,-1.7999015664178522e-13
7,sel102,normalized_50k,6,64,10,631.6280836839003,17.504148721694946,631.6280836839014,57.99107313156128,3.3129901975573444,-1.7999015664178522e-13
8,sel102,normalized_50k,7,1,10,629.634774757029,35.562257289886475,629.6347747570289,69.94525599479675,1.9668396025774335,1.8055997266905545e-14
9,sel102,normalized_50k,7,64,10,629.634774757029,19.46393656730652,629.6347747570289,69.10186338424683,3.5502511604110394,1.8055997266905545e-14
10,sel102,normalized_50k,8,1,10,627.7859199531856,41.36898136138916,627.785919953187,80.9251492023468,1.9561794015522107,-2.1731007486773862e-13
11,sel102,normalized_50k,8,64,10,627.7859199531856,24.119622468948364,627.785919953187,80.56573724746704,3.3402569775371687,-2.1731007486773862e-13
12,sel102,normalized_50k,9,1,10,625.7926110263144,48.30859708786011,625.7926110263146,91.92213749885559,1.9028111566078891,-3.6333710471642337e-14
13,sel102,normalized_50k,9,64,10,625.7926110263144,26.37345862388611,625.7926110263146,92.81252431869507,3.5191639307646945,-3.6333710471642337e-14
14,sel102,normalized_50k,10,1,10,624.0661777464177,54.513789653778076,624.0661777464186,103.62739634513855,1.9009391385791623,-1.4573690006037949e-13
15,sel102,normalized_50k,10,64,10,624.1751661271993,28.7551167011261,624.0661777464186,103.60492277145386,3.6030082523503206,0.017464234510238357
16,sel102,normalized_50k,11,1,10,622.0914959857143,60.719090700149536,622.0914959857149,116.56835174560547,1.91979738829189,-9.137469203101486e-14
17,sel102,normalized_50k,11,64,10,622.0914959857145,31.01304578781128,622.0914959857149,116.31777262687683,3.75060783847912,-7.309975362481189e-14
18,sel102,normalized_50k,12,1,10,620.224014015703,66.68065810203552,620.2240140157041,127.88906526565552,1.9179334593542579,-1.8329963876364428e-13
19,sel102,normalized_50k,12,64,10,620.3742369711943,31.656294345855713,620.2240140157041,127.17907214164734,4.0174971445543495,0.024220757677129237
20,sel102,normalized_50k,13,1,10,618.2493322549996,74.58442878723145,618.2493322550005,138.68741488456726,1.8594687542650992,-1.4710807668091455e-13
21,sel102,normalized_50k,13,64,10,618.2493322549998,34.33020567893982,618.2493322550005,139.3383755683899,4.058769028985699,-1.1033105751068592e-13
22,sel102,normalized_50k,14,1,10,616.6318873558845,78.91319823265076,616.63188735589,151.2247121334076,1.9163424562716247,-8.84963674849347e-13
23,sel102,normalized_50k,14,64,10,616.6318873558846,35.20852971076965,616.63188735589,151.36432766914368,4.299081186080999,-8.66526931623319e-13
24,sel102,normalized_50k,15,1,10,614.7009833295292,84.3769781589508,614.7009833295332,162.0449948310852,1.9204882465193533,-6.473129908958434e-13
25,sel102,normalized_50k,15,64,10,614.7009833295293,37.342111349105835,614.7009833295332,161.1762387752533,4.316205831760305,-6.28818334013105e-13
26,sel102,normalized_50k,16,1,10,612.990672998519,91.30092883110046,612.9906729985213,172.57044458389282,1.890128028194922,-3.709251795480101e-13
27,sel102,normalized_50k,16,64,10,612.990672998519,38.23772406578064,612.9906729985213,172.76366305351257,4.518147124978096,-3.709251795480101e-13
28,sel102,normalized_50k,17,1,10,611.5659074005036,96.48503756523132,611.5659074005083,182.77764701843262,1.8943626040966284,-7.621681147006305e-13
29,sel102,normalized_50k,17,64,10,611.5659074005038,39.532259941101074,611.5659074005083,182.91533780097961,4.62698914945678,-7.435786484884198e-13
30,sel102,normalized_50k,18,1,10,609.8555970694933,101.47113275527954,609.8555970694964,193.80025792121887,1.9099053362162792,-5.033231855595877e-13
31,sel102,normalized_50k,18,64,10,609.8555970694933,40.66075587272644,609.8555970694964,195.35575699806213,4.804528415791176,-5.033231855595877e-13
32,sel102,normalized_50k,19,1,10,608.4482698938168,107.04388737678528,608.4482698938194,205.83879351615906,1.922938325208839,-4.297484925141587e-13
33,sel102,normalized_50k,19,64,10,608.4496890494867,43.84150266647339,608.4482698938194,209.44317293167114,4.77728089123727,0.00023324179514611567
34,sel102,normalized_50k,20,1,10,606.7578382389573,114.4127607345581,606.7578382389594,219.8357458114624,1.9214268093878932,-3.372619107696091e-13
35,sel102,normalized_50k,20,64,10,606.7578382389573,43.537232637405396,606.7578382389594,219.8288552761078,5.049215165027276,-3.372619107696091e-13
