,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,x_108,normalized_50k,3,4,10,246.51002412603555,6.725011348724365,246.51002412603466,24.432183980941772,3.6330323792801025,3.5741872788591055e-13
1,x_108,normalized_50k,4,4,10,238.74513500546004,11.848284482955933,238.74513500545893,33.881383657455444,2.859602477151414,4.642803162294434e-13
2,x_108,normalized_50k,5,4,10,235.28400640687875,16.192685842514038,235.27785877297174,45.992753982543945,2.840341276910935,0.0026129249641537815
3,x_108,normalized_50k,6,4,10,229.9071609741679,20.771440744400024,229.90716097416873,57.57669281959534,2.7719161866572977,-3.585053940857121e-13
4,x_108,normalized_50k,7,4,10,225.30279894395196,24.168922662734985,225.3027989439527,69.06886577606201,2.8577552561975095,-3.2798724589938724e-13
5,x_108,normalized_50k,8,4,10,221.84167034537103,26.937514305114746,221.83552271146547,80.22700500488281,2.9782631053545185,0.0027712576554080495
6,x_108,normalized_50k,9,4,10,219.14657600120339,29.812580585479736,219.14657600120395,91.50027632713318,3.069183362533149,-2.5938538442186624e-13
7,x_108,normalized_50k,10,4,10,215.68544740262246,32.23688316345215,215.67929976871673,103.94354557991028,3.2243671031371286,0.002850358802313844
8,x_108,normalized_50k,11,4,10,213.31323589618304,35.10769963264465,213.31323589618466,113.13736033439636,3.2225797052563467,-7.59464095477633e-13
9,x_108,normalized_50k,12,4,10,211.1147059664449,37.41809582710266,211.1085583325389,124.23172736167908,3.3200975254250005,0.0029120723264560886
10,x_108,normalized_50k,13,4,10,208.74249446000545,40.55916476249695,208.74249446000684,136.54241347312927,3.36649963757102,-6.671683049934128e-13
11,x_108,normalized_50k,14,4,10,207.34502677306668,43.52857041358948,207.34144110385947,149.58045387268066,3.436374143497764,0.0017293548207835095
12,x_108,normalized_50k,15,4,10,205.5653067746902,49.89883852005005,205.55915914078346,170.8188352584839,3.4233028327873103,0.0029906883898757662
13,x_108,normalized_50k,16,4,10,203.19309526825077,52.692028760910034,203.19309526825137,184.16156888008118,3.495055575022816,-2.937382774993054e-13
14,x_108,normalized_50k,17,4,10,201.7956275813125,51.80614495277405,201.79204191210403,195.0957109928131,3.765879726635911,0.0017769130905687476
15,x_108,normalized_50k,18,4,10,200.34075880097308,55.173969745635986,200.33717313176365,195.99956583976746,3.5523919475681764,0.0017898172133387145
16,x_108,normalized_50k,19,4,10,198.93970544482542,58.1136953830719,198.9361197756163,210.1228666305542,3.6157202746353225,0.0018024224123604057
17,x_108,normalized_50k,20,4,10,197.6096094248313,64.37647223472595,197.60602375562306,228.0241847038269,3.5420422522131636,0.0018145546072366346
