dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
x_108,normalized_50k,3,4,10,246.5100241,6.725011349,246.5100241,24.43218398,3.633032379,3.57E-13
x_108,normalized_50k,4,4,10,238.745135,11.84828448,238.745135,33.88138366,2.859602477,4.64E-13
x_108,normalized_50k,5,4,10,235.2840064,16.19268584,235.2778588,45.99275398,2.840341277,0.002612925
x_108,normalized_50k,6,4,10,229.907161,20.77144074,229.907161,57.57669282,2.771916187,-3.59E-13
x_108,normalized_50k,7,4,10,225.3027989,24.16892266,225.3027989,69.06886578,2.857755256,-3.28E-13
x_108,normalized_50k,8,4,10,221.8416703,26.93751431,221.8355227,80.227005,2.978263105,0.002771258
x_108,normalized_50k,9,4,10,219.146576,29.81258059,219.146576,91.50027633,3.069183363,-2.59E-13
x_108,normalized_50k,10,4,10,215.6854474,32.23688316,215.6792998,103.9435456,3.224367103,0.002850359
x_108,normalized_50k,11,4,10,213.3132359,35.10769963,213.3132359,113.1373603,3.222579705,-7.59E-13
x_108,normalized_50k,12,4,10,211.114706,37.41809583,211.1085583,124.2317274,3.320097525,0.002912072
x_108,normalized_50k,13,4,10,208.7424945,40.55916476,208.7424945,136.5424135,3.366499638,-6.67E-13
x_108,normalized_50k,14,4,10,207.3450268,43.52857041,207.3414411,149.5804539,3.436374143,0.001729355
x_108,normalized_50k,15,4,10,205.5653068,49.89883852,205.5591591,170.8188353,3.423302833,0.002990688
x_108,normalized_50k,16,4,10,203.1930953,52.69202876,203.1930953,184.1615689,3.495055575,-2.94E-13
x_108,normalized_50k,17,4,10,201.7956276,51.80614495,201.7920419,195.095711,3.765879727,0.001776913
x_108,normalized_50k,18,4,10,200.3407588,55.17396975,200.3371731,195.9995658,3.552391948,0.001789817
x_108,normalized_50k,19,4,10,198.9397054,58.11369538,198.9361198,210.1228666,3.615720275,0.001802422
x_108,normalized_50k,20,4,10,197.6096094,64.37647223,197.6060238,228.0241847,3.542042252,0.001814555
x_108,normalized_50k,21,4,10,196.1547406,65.32139683,196.151155,236.3109417,3.617665163,0.001828013
x_108,normalized_50k,22,4,10,194.7536873,70.0635047,194.7501016,249.1650319,3.556274169,0.001841164
x_108,normalized_50k,23,4,10,193.4927365,72.89968514,193.4769569,265.9617813,3.648325514,0.008155801
x_108,normalized_50k,24,4,10,192.4735603,75.83994508,192.4577807,278.8192813,3.676417237,0.008198991
x_108,normalized_50k,25,4,10,191.5635374,78.31521678,191.5477579,289.5691872,3.697483057,0.008237943
x_108,normalized_50k,26,4,10,190.5694399,81.03099108,190.547587,296.9504166,3.664652408,0.011468489
x_108,normalized_50k,27,4,10,189.659417,85.60784698,189.6375641,312.1904714,3.646750648,0.011523523
x_108,normalized_50k,28,4,10,188.7620115,88.88401532,188.740709,326.2021976,3.669975939,0.011286667
x_108,normalized_50k,29,4,10,187.9440308,91.37010074,187.9199601,339.352952,3.714048132,0.012809003
x_108,normalized_50k,30,4,10,187.1856995,94.6895144,187.1616288,350.5856209,3.702475645,0.012860902
x_108,normalized_50k,31,4,10,186.438153,97.72691226,186.416932,360.3011532,3.686816097,0.01138362
x_108,normalized_50k,32,4,10,185.6798216,101.0709007,185.6586006,373.7452173,3.697851853,0.011430116
x_108,normalized_50k,33,4,10,184.93572,104.3842192,184.914499,412.5528622,3.95225318,0.011476112
x_108,normalized_50k,34,4,10,184.2307523,99.46902418,184.2087131,375.967135,3.779740859,0.011964265
x_108,normalized_50k,35,4,10,183.4866507,104.5822604,183.4654297,387.4317887,3.70456507,0.011566754
x_108,normalized_50k,36,4,10,182.8105046,107.6270981,182.8041508,400.8213627,3.724167704,0.003475746
x_108,normalized_50k,37,4,10,182.1680145,109.9399414,182.1519503,417.1192071,3.794064303,0.008819134
x_108,normalized_50k,38,4,10,181.5232521,116.4223278,181.48927,423.0591915,3.633832097,0.018724031
x_108,normalized_50k,39,4,10,180.7672076,117.7856469,180.7459866,431.3282561,3.661976373,0.011740783
x_108,normalized_50k,40,4,10,180.0910615,120.4926476,180.0564475,442.0680485,3.668838366,0.019223987
x_108,normalized_50k,41,4,10,179.3343851,123.1016989,179.3131641,456.9409087,3.711897665,0.011834599
x_108,normalized_50k,42,4,10,178.658239,126.6837716,178.6518852,472.9990892,3.733699141,0.00355653
x_108,normalized_50k,43,4,10,178.016488,136.5011239,178.0073129,481.4539466,3.527106099,0.005154339
x_108,normalized_50k,44,4,10,177.36928,133.5873182,177.3460341,491.2297506,3.677218446,0.013107705
x_108,normalized_50k,45,4,10,176.727529,136.9425199,176.7070512,504.8966157,3.686923653,0.01158859
x_108,normalized_50k,46,4,10,176.0727873,141.2918632,176.0479371,519.0539119,3.673629183,0.014115591
x_108,normalized_50k,47,4,10,175.4310363,138.2303317,175.4053129,523.4070041,3.78648447,0.014665099
x_108,normalized_50k,48,4,10,174.7688255,143.1968348,174.7440341,535.3938627,3.738866599,0.014187261
x_108,normalized_50k,49,4,10,174.1270744,146.1811399,174.1050512,550.4181283,3.765315611,0.012649406
x_108,normalized_50k,50,4,10,173.4854755,148.8370366,173.4475414,566.4269266,3.805685329,0.021870646
x_108,normalized_50k,51,4,10,172.8437244,152.5353665,172.8085585,574.1366346,3.763957485,0.020349663
x_108,normalized_50k,52,4,10,172.1724345,153.5934253,172.1641914,584.8413057,3.807723571,0.004787947
x_108,normalized_50k,53,4,10,171.5306835,160.5861471,171.5252085,596.7604971,3.716139331,0.003191946
x_108,normalized_50k,54,4,10,170.925277,159.045805,170.9112699,605.8640792,3.809368498,0.008195511
x_108,normalized_50k,55,4,10,170.2900555,166.8843317,170.2679966,621.1487026,3.722031279,0.012955436
x_108,normalized_50k,56,4,10,169.6653406,165.5534706,169.6290137,632.8023543,3.822344237,0.02141551
x_108,normalized_50k,57,4,10,169.0366228,175.849385,168.997371,641.1582549,3.646064812,0.023226235
x_108,normalized_50k,58,4,10,168.3994553,175.3271368,168.3874254,653.7636209,3.728821636,0.007144188
x_108,normalized_50k,59,4,10,167.7931451,174.3787372,167.7557827,664.0991302,3.808372172,0.022271902
x_108,normalized_50k,60,4,10,167.1877387,178.7700324,167.1503763,676.3059909,3.783106049,0.02235257
x_108,normalized_50k,61,4,10,166.6138298,180.6588109,166.5701433,686.169287,3.798150136,0.026227105
x_108,normalized_50k,62,4,10,166.0084233,184.9372513,165.9647368,698.7709076,3.778421614,0.026322776
x_108,normalized_50k,63,4,10,165.4348516,186.2091217,165.3911651,717.8591404,3.855123389,0.026414063
x_108,normalized_50k,64,4,10,164.8898787,191.7463455,164.7890071,727.7200894,3.795222733,0.061212611
x_108,normalized_50k,65,4,10,164.3567902,193.7304709,164.2154354,738.2608464,3.810762669,0.08607887
x_108,normalized_50k,66,4,10,163.8116216,198.8972106,163.6243211,751.3058574,3.777357436,0.114469824
x_108,normalized_50k,67,4,10,163.2380499,202.3904662,163.0507495,756.5433431,3.738038442,0.1148725
x_108,normalized_50k,68,4,10,162.6572186,203.8312159,162.4667407,766.2294745,3.759137045,0.117241215
x_108,normalized_50k,69,4,10,162.0836469,204.2057753,161.893169,774.5975382,3.793220526,0.117656589
x_108,normalized_50k,70,4,10,161.5135121,207.2400303,161.3211448,789.1278112,3.807796255,0.11924494
x_108,normalized_50k,71,4,10,160.9399405,213.0394003,160.7475732,801.7127059,3.763213305,0.119670424
x_108,normalized_50k,72,4,10,160.3775731,216.452256,160.1862261,820.6149127,3.791205174,0.119452837
x_108,normalized_50k,73,4,10,159.8244203,217.7336397,159.6126544,829.9805272,3.811907651,0.132674841
x_108,normalized_50k,74,4,10,159.2681967,216.2956009,159.0521764,837.3811176,3.871466244,0.13581722
x_108,normalized_50k,75,4,10,158.7150438,225.1026397,158.503278,849.4654391,3.773680488,0.133603443
