dataset_name,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap,
1,3,1,10,4694.354527,10.51942992,4694.354527,32.18696213,3.059762969,1.16E-13,1.16E-13
1,5,1,10,4561.943517,30.81559587,4561.943517,69.56019783,2.257304974,-3.59E-13,2.71E-02
1,10,1,10,4385.588552,75.44669271,4385.20898,155.6568968,2.063137445,0.008655737,6.98E-01
1,20,1,10,4235.984133,146.645762,4235.55864,330.9546168,2.256830421,0.010045751,5.27E-01
,,,,,,,,,,
,,,,,,,,,,
1,3,2,10,4694.354527,10.03117251,4694.354527,33.58365917,3.347929579,1.16E-13,
1,5,2,10,4561.943517,23.12073112,4561.943517,69.4664185,3.004507866,-3.59E-13,
1,10,2,10,4386.49791,55.34894729,4385.20898,156.7089114,2.831289828,0.029392656,
1,20,2,10,4238.312117,93.12693954,4235.55864,329.5903311,3.539151321,0.065008598,
,,,,,,,,,,
,,,,,,,,,,
1,3,4,10,4694.354527,9.200425863,4694.354527,33.67706156,3.660380732,1.16E-13,
1,5,4,10,4562.43674,21.32203579,4561.943517,69.16401863,3.24378119,0.010811672,
1,10,4,10,4392.096779,45.46301079,4385.20898,156.2401011,3.436642193,0.157068891,
1,20,4,10,4250.29613,73.99215698,4235.55864,328.2341645,4.436066981,0.347946789,
,,,,,,,,,,
,,,,,,,,,,
1,3,8,10,4694.354527,10.54093194,4694.354527,34.44813466,3.268035014,1.16E-13,
1,5,8,10,4562.43674,21.35489058,4561.943517,69.46025133,3.252662478,0.010811672,
1,10,8,10,4407.363579,41.51299047,4385.20898,155.6089008,3.748438718,0.505211921,
1,20,8,10,4250.67675,61.58543062,4235.55864,328.6772041,5.336931167,0.356933083,
,,,,,,,,,,
,,,,,,,,,,
1,3,16,10,4694.354527,9.363991022,4694.354527,33.01523805,3.525765666,1.16E-13,
1,5,16,10,4562.43674,22.17269802,4561.943517,69.61278939,3.139572339,0.010811672,
1,10,16,10,4410.802382,40.98737764,4385.20898,156.3633204,3.814913989,0.583630156,
1,20,16,10,4257.894283,56.57665324,4235.55864,328.2378876,5.801649069,0.527336429,
,,,,,,,,,,
,,,,,,,,,,
1,3,32,10,4694.354527,9.934431553,4694.354527,34.78294206,3.501251367,1.16E-13,
1,5,32,10,4563.17851,20.15917039,4561.943517,69.44425988,3.444797506,0.027071645,
1,10,32,10,4415.835995,37.88824701,4385.20898,155.2248898,4.096914003,0.698416304,
1,20,32,10,4257.90077,50.65856433,4235.55864,321.5009816,6.346428996,0.527489585,
,,,,,,,,,,
,,,,,,,,,,
1,3,64,10,4694.354527,8.63989234,4694.354527,34.19753623,3.958097495,1.16E-13,
1,5,64,10,4563.17851,20.60289788,4561.943517,70.35090208,3.414611987,0.027071645,
1,10,64,10,4406.729027,36.46547151,4385.20898,158.8167412,4.355263614,0.490741643,
1,20,64,10,4251.693624,42.99697518,4235.55864,302.8348432,7.04316622,0.380941118,
