dataset_name,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap,
r01,3,1,10,7.90E-05,24.57742572,7.90E-05,50.35442209,2.048807823,-3.43E-14,-3.43E-14
r01,5,1,10,6.83E-05,71.34618282,6.83E-05,114.0679491,1.598795402,-2.22E-12,1.99E+00
r01,10,1,10,5.34E-05,158.5973904,5.34E-05,260.4292204,1.642077589,-1.42E-12,3.72E+00
r01,20,1,10,4.14E-05,269.8659992,4.14E-05,494.6445401,1.832926495,0.038532023,5.47E+00
,,,,,,,,,,
,,,,,,,,,,
r01,3,2,10,7.90E-05,24.75964093,7.90E-05,52.1150949,2.104840496,-3.43E-14,
r01,5,2,10,6.83E-05,61.80675435,6.83E-05,114.8589084,1.858355282,-2.22E-12,
r01,10,2,10,5.34E-05,122.7125113,5.34E-05,262.2541234,2.137142502,-1.42E-12,
r01,20,2,10,4.16E-05,176.11622,4.14E-05,432.0009124,2.452930868,0.412099675,
,,,,,,,,,,
,,,,,,,,,,
r01,3,4,10,7.90E-05,26.92698789,7.90E-05,49.77842808,1.848644501,-3.43E-14,
r01,5,4,10,6.83E-05,61.01381493,6.83E-05,115.4054914,1.891464933,-2.22E-12,
r01,10,4,10,5.34E-05,110.5300016,5.34E-05,257.6345074,2.330901145,-1.42E-12,
r01,20,4,10,4.18E-05,145.1625581,4.14E-05,441.3828485,3.040610846,0.823129241,
,,,,,,,,,,
,,,,,,,,,,
r01,3,8,10,7.90E-05,25.89498425,7.90E-05,52.89951587,2.042847965,-3.43E-14,
r01,5,8,10,6.83E-05,62.12088299,6.83E-05,117.0025802,1.883466148,-2.22E-12,
r01,10,8,10,5.43E-05,103.8781455,5.34E-05,259.4038589,2.497193782,1.599398427,
r01,20,8,10,4.22E-05,135.4483781,4.14E-05,463.5046649,3.422002326,2.01062352,
,,,,,,,,,,
,,,,,,,,,,
r01,3,16,10,7.90E-05,25.56882644,7.90E-05,57.11026716,2.233589692,-3.43E-14,
r01,5,16,10,6.83E-05,60.09823537,6.83E-05,119.9382625,1.995703563,-2.22E-12,
r01,10,16,10,5.43E-05,95.72102141,5.34E-05,264.8128407,2.766506633,1.599398427,
r01,20,16,10,4.25E-05,97.74620128,4.14E-05,430.3234384,4.402456901,2.531637697,
,,,,,,,,,,
,,,,,,,,,,
r01,3,32,10,7.90E-05,23.75503302,7.90E-05,56.35125709,2.372181804,-3.43E-14,
r01,5,32,10,6.97E-05,57.65035725,6.83E-05,117.7207603,2.041977985,1.993731128,
r01,10,32,10,5.34E-05,95.8061595,5.34E-05,261.980531,2.73448526,-1.42E-12,
r01,20,32,10,4.29E-05,101.7768435,4.14E-05,423.3015685,4.159114723,3.50350042,
,,,,,,,,,,
,,,,,,,,,,
r01,3,64,10,7.90E-05,23.89415789,7.90E-05,56.05208659,2.345849009,-3.43E-14,
r01,5,64,10,6.86E-05,58.7237649,6.83E-05,116.4899623,1.983693698,0.423841127,
r01,10,64,10,5.54E-05,97.17213941,5.34E-05,251.1498258,2.584586769,3.721287938,
r01,20,64,10,4.37E-05,86.9319768,4.14E-05,400.1554677,4.603087178,5.471317353,
