,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap
0,r01,asc,3.0,1.0,10.0,7.89839507999405e-05,24.577425718307495,7.898395079994053e-05,50.354422092437744,2.048807823470674,-3.431716701636305e-14
1,r01,asc,3.0,2.0,10.0,7.89839507999405e-05,24.75964093208313,7.898395079994053e-05,52.115094900131226,2.1048404959944857,-3.431716701636305e-14
2,r01,asc,3.0,4.0,10.0,7.89839507999405e-05,26.926987886428833,7.898395079994053e-05,49.778428077697754,1.8486445007384587,-3.431716701636305e-14
3,r01,asc,3.0,8.0,10.0,7.89839507999405e-05,25.894984245300293,7.898395079994053e-05,52.899515867233276,2.0428479649233253,-3.431716701636305e-14
4,r01,asc,3.0,16.0,10.0,7.89839507999405e-05,25.56882643699646,7.898395079994053e-05,57.110267162323,2.233589691847886,-3.431716701636305e-14
5,r01,asc,3.0,32.0,10.0,7.89839507999405e-05,23.755033016204834,7.898395079994053e-05,56.35125708580017,2.372181804477365,-3.431716701636305e-14
6,r01,asc,3.0,64.0,10.0,7.89839507999405e-05,23.894157886505127,7.898395079994053e-05,56.05208659172058,2.3458490086975408,-3.431716701636305e-14
7,r01,asc,5.0,1.0,10.0,6.833914684620151e-05,71.34618282318115,6.833914684620303e-05,114.06794905662537,1.5987954021215476,-2.2211032936886024e-12
8,r01,asc,5.0,2.0,10.0,6.833914684620151e-05,61.80675435066223,6.833914684620303e-05,114.8589084148407,1.8583552820648968,-2.2211032936886024e-12
9,r01,asc,5.0,4.0,10.0,6.833914684620151e-05,61.01381492614746,6.833914684620303e-05,115.4054913520813,1.891464932847926,-2.2211032936886024e-12
10,r01,asc,5.0,8.0,10.0,6.833914684620151e-05,62.120882987976074,6.833914684620303e-05,117.00258016586304,1.883466147583731,-2.2211032936886024e-12
11,r01,asc,5.0,16.0,10.0,6.833914684620151e-05,60.09823536872864,6.833914684620303e-05,119.93826246261597,1.9957035631203297,-2.2211032936886024e-12
12,r01,asc,5.0,32.0,10.0,6.970164568917536e-05,57.650357246398926,6.833914684620303e-05,117.72076034545898,2.0419779853630016,1.993731127546311
13,r01,asc,5.0,64.0,10.0,6.862879625629756e-05,58.72376489639282,6.833914684620303e-05,116.48996233940125,1.9836936978568414,0.42384112688205694
14,r01,asc,10.0,1.0,10.0,5.344874308899731e-05,158.5973904132843,5.344874308899807e-05,260.42922043800354,1.6420775887885586,-1.4199426906562264e-12
15,r01,asc,10.0,2.0,10.0,5.344874308899731e-05,122.71251130104065,5.344874308899807e-05,262.25412344932556,2.1371425021688197,-1.4199426906562264e-12
16,r01,asc,10.0,4.0,10.0,5.344874308899731e-05,110.53000164031982,5.344874308899807e-05,257.63450741767883,2.3309011453384194,-1.4199426906562264e-12
17,r01,asc,10.0,8.0,10.0,5.43036014452387e-05,103.87814545631409,5.344874308899807e-05,259.4038589000702,2.4971937818158527,1.5993984270447545
18,r01,asc,10.0,16.0,10.0,5.43036014452387e-05,95.7210214138031,5.344874308899807e-05,264.81284070014954,2.766506633431757,1.5993984270447545
19,r01,asc,10.0,32.0,10.0,5.344874308899731e-05,95.80615949630737,5.344874308899807e-05,261.98053097724915,2.7344852601814873,-1.4199426906562264e-12
20,r01,asc,10.0,64.0,10.0,5.5437724718393036e-05,97.17213940620422,5.344874308899807e-05,251.1498258113861,2.584586768862997,3.7212879376472734
21,r01,asc,20.0,1.0,10.0,4.142587312565906e-05,269.86599922180176,4.1409917046821174e-05,494.6445400714874,1.832926494993321,0.038532023186239744
22,r01,asc,20.0,2.0,10.0,4.158056718018666e-05,176.116219997406,4.1409917046821174e-05,432.0009124279022,2.4529308682315865,0.4120996745116268
23,r01,asc,20.0,4.0,10.0,4.175077418264899e-05,145.16255807876587,4.1409917046821174e-05,441.38284850120544,3.0406108458195473,0.8231292408589399
24,r01,asc,20.0,8.0,10.0,4.22425145786319e-05,135.4483780860901,4.1409917046821174e-05,463.5046648979187,3.4220023262539048,2.010623520132462
25,r01,asc,20.0,16.0,10.0,4.245826611687799e-05,97.74620127677917,4.1409917046821174e-05,430.3234384059906,4.402456901496174,2.5316376965244194
26,r01,asc,20.0,32.0,10.0,4.286071366456463e-05,101.77684354782104,4.1409917046821174e-05,423.3015685081482,4.159114723471012,3.5035004202087103
27,r01,asc,20.0,64.0,10.0,4.367558502399348e-05,86.93197679519653,4.1409917046821174e-05,400.15546774864197,4.603087178051526,5.471317352822927
