dataset_name,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap,max Gap
sel102,3,1,10,1847.941859,9.982276201,1847.941859,26.85085225,2.689852666,-1.22E-12,-1.22E-12
sel102,5,1,10,1832.254148,30.09053588,1832.254148,56.47519445,1.876842429,-2.98E-13,-2.98E-13
sel102,10,1,10,1803.551254,78.83333588,1803.551254,126.1885359,1.600700193,-9.20E-13,1.75E-02
sel102,20,1,10,1753.530153,158.3724422,1753.530153,271.4829977,1.714206044,-7.52E-13,-7.26E-13
,,,,,,,,,,
,,,,,,,,,,
sel102,3,2,10,1847.941859,8.382117033,1847.941859,26.44028187,3.154368015,-1.22E-12,
sel102,5,2,10,1832.254148,25.55565214,1832.254148,56.05129576,2.193303284,-2.98E-13,
sel102,10,2,10,1803.749177,58.70402861,1803.551254,127.1873393,2.166586218,0.01097408,
sel102,20,2,10,1753.530153,108.912374,1753.530153,270.5470803,2.484080278,-7.52E-13,
,,,,,,,,,,
,,,,,,,,,,
sel102,3,4,10,1847.941859,8.71378994,1847.941859,27.63384891,3.171277836,-1.22E-12,
sel102,5,4,10,1832.254148,22.39011765,1832.254148,55.75242591,2.490046135,-2.98E-13,
sel102,10,4,10,1803.749177,50.74328423,1803.551254,129.8288031,2.558541589,0.01097408,
sel102,20,4,10,1753.530153,90.19478297,1753.530153,268.4731462,2.976592851,-7.52E-13,
,,,,,,,,,,
,,,,,,,,,,
sel102,3,8,10,1847.941859,7.588676453,1847.941859,25.58214521,3.371094469,-1.22E-12,
sel102,5,8,10,1832.254148,20.29569221,1832.254148,56.51992583,2.784823758,-2.98E-13,
sel102,10,8,10,1803.86623,48.55371857,1803.551254,127.5757868,2.627518357,0.017464235,
sel102,20,8,10,1753.530153,80.2764101,1753.530153,268.6804066,3.346940978,-7.26E-13,
,,,,,,,,,,
,,,,,,,,,,
sel102,3,16,10,1847.941859,9.642212629,1847.941859,26.33456826,2.731174812,-1.22E-12,
sel102,5,16,10,1832.254148,19.98355317,1832.254148,57.21999216,2.863354263,-2.98E-13,
sel102,10,16,10,1803.86623,43.95845127,1803.551254,126.4109926,2.875692591,0.017464235,
sel102,20,16,10,1753.530153,71.04311824,1753.530153,269.0664876,3.787368773,-7.26E-13,
,,,,,,,,,,
,,,,,,,,,,
sel102,3,32,10,1847.941859,8.252901316,1847.941859,27.66700625,3.352397562,-1.22E-12,
sel102,5,32,10,1832.254148,19.72677755,1832.254148,57.59196806,2.919481801,-2.98E-13,
sel102,10,32,10,1803.86623,43.2428298,1803.551254,127.0721767,2.938572181,0.017464235,
sel102,20,32,10,1753.530153,65.30533743,1753.530153,266.2629402,4.077200282,-7.26E-13,
,,,,,,,,,,
,,,,,,,,,,
sel102,3,64,10,1847.941859,7.597679615,1847.941859,26.84018731,3.53268217,-1.22E-12,
sel102,5,64,10,1832.254148,18.72902369,1832.254148,56.22111869,3.001817906,-2.98E-13,
sel102,10,64,10,1803.86623,40.70515442,1803.551254,127.6735525,3.136545097,0.017464235,
sel102,20,64,10,1753.530153,62.18117738,1753.530153,268.5184741,4.318324056,-7.26E-13,
