dataset_name,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap,max Gap
x_108,3,1,10,1242.416684,11.56509686,1242.416684,28.46510649,2.461294258,3.48E-13,3.48E-13
x_108,5,1,10,1185.80629,31.51773,1185.80629,56.60268068,1.795899663,4.79E-13,4.47E-03
x_108,10,1,10,1087.029063,73.72983861,1087.029063,127.7907288,1.733229466,-9.41E-13,4.88E-03
x_108,20,1,10,995.9392999,153.3727272,995.9392999,269.8330488,1.759328753,-9.93E-13,2.05E-02
,,,,,,,,,,
,,,,,,,,,,
x_108,3,2,10,1242.416684,10.2196939,1242.416684,27.971174,2.736987456,3.48E-13,
x_108,5,2,10,1185.837274,25.1088171,1185.80629,57.18408728,2.277450469,0.002612925,
x_108,10,2,10,1087.060047,52.06475115,1087.029063,129.429816,2.485939396,0.002850359,
x_108,20,2,10,995.9392999,101.1430483,995.9392999,267.6334848,2.646088776,-9.93E-13,
,,,,,,,,,,
,,,,,,,,,,
x_108,3,4,10,1242.416684,9.498595238,1242.416684,28.76627231,3.028476484,3.48E-13,
x_108,5,4,10,1185.837274,23.52607822,1185.80629,57.47330523,2.44296158,0.002612925,
x_108,10,4,10,1087.060047,47.06315207,1087.029063,126.7920372,2.694082985,0.002850359,
x_108,20,4,10,995.9573717,89.57246399,995.9392999,270.9204233,3.024594961,0.001814555,
,,,,,,,,,,
,,,,,,,,,,
x_108,3,8,10,1242.416684,8.510239124,1242.416684,27.59020805,3.242001506,3.48E-13,
x_108,5,8,10,1185.837274,21.73590064,1185.80629,56.17284918,2.584335018,0.002612925,
x_108,10,8,10,1087.060047,42.69381332,1087.029063,127.6568639,2.990055326,0.002850359,
x_108,20,8,10,995.9787923,73.7927618,995.9392999,270.0278487,3.659272835,0.003965344,
,,,,,,,,,,
,,,,,,,,,,
x_108,3,16,10,1242.416684,8.318317652,1242.416684,28.9116466,3.475660322,3.48E-13,
x_108,5,16,10,1185.837274,21.65607882,1185.80629,56.44902277,2.606613286,0.002612925,
x_108,10,16,10,1087.060047,38.44223309,1087.029063,129.2949414,3.36335668,0.002850359,
x_108,20,16,10,996.1435957,63.39198685,995.9392999,267.5321503,4.220283408,0.020512876,
,,,,,,,,,,
,,,,,,,,,,
x_108,3,32,10,1242.416684,8.078421354,1242.416684,27.45653844,3.398750478,3.48E-13,
x_108,5,32,10,1185.859285,21.33907986,1185.80629,56.64649606,2.65458944,0.004469076,
x_108,10,32,10,1087.082057,37.56408811,1087.029063,125.9671025,3.353391733,0.004875177,
x_108,20,32,10,996.1435957,60.09324503,995.9392999,268.3511958,4.465580044,0.020512876,
,,,,,,,,,,
,,,,,,,,,,
x_108,3,64,10,1242.416684,7.995588064,1242.416684,28.61546564,3.578906944,3.48E-13,
x_108,5,64,10,1185.859285,22.01113224,1185.80629,56.39516783,2.562120259,0.004469076,
x_108,10,64,10,1087.082057,36.2849555,1087.029063,131.2096097,3.616088484,0.004875177,
x_108,20,64,10,996.1435957,49.05986714,995.9392999,258.6600804,5.272335526,0.020512876,
