,dataset_name,method,k,theta,max,SSE_a,Total_time_a,SSE_b,Total_time_b,speed_up,Gap,r3,r4
0,Syn_n_50000_d_2_seed_0,normalized_50k,20.0,20.0,10.0,413512.55983916484,36.96706247329712,413502.349253877,380.93935465812683,10.304831630408705,0.0024692931748161264,"(415003.2653053084, 414950.0298697619, 414825.7779472455, 414769.38606022345, 414658.7655971686, 414593.2702474332, 414492.4498355513, 414426.5699287036, 414329.09132021514, 414263.59597047896, 414162.77555859776, 414098.137789686, 414014.88448457327, 413947.7855932382, 413869.2501306704, 413803.8708925507, 413722.44317004184, 413656.042564654, 413578.5284693544, 413512.55983916484)",1952941333.0
1,Syn_n_50000_d_2_seed_1,normalized_50k,20.0,20.0,10.0,414125.98028499703,61.43302273750305,414118.38237626466,381.9365541934967,6.2171213001429555,0.0018347190213501524,"(415629.92199844006, 415553.2999408071, 415448.98331452196, 415378.9769806373, 415294.3299796373, 415219.4383838981, 415135.2356274534, 415065.86360591406, 414983.5423784467, 414906.36801772256, 414828.08251926576, 414753.24917957507, 414670.7355586494, 414590.83494978584, 414515.0121530902, 414436.1816149013, 414359.56144841557, 414278.06004304707, 414213.4309582866, 414125.98028499703)",-4994564.0
2,Syn_n_50000_d_2_seed_2,normalized_50k,20.0,20.0,10.0,417917.9612605479,88.93424892425537,417917.96126055083,385.0088653564453,4.329140573103108,-6.964005655308251e-13,"(419584.9037780702, 419507.5841319603, 419387.34312419756, 419301.4082471711, 419203.56825096183, 419110.3392576582, 419020.2816350146, 418926.56438442256, 418836.50676177884, 418748.6230527961, 418660.46153036196, 418572.9965661665, 418484.8350437323, 418408.015878511, 418322.67952151445, 418241.34829619736, 418160.68416287866, 418079.1927739795, 417998.5286406608, 417917.9612605479)",1703013744.0
3,Syn_n_50000_d_2_seed_3,normalized_50k,20.0,20.0,10.0,414118.0318767408,49.81642174720764,414118.0318767429,382.0837607383728,7.669835514827794,-5.060093093238014e-13,"(415554.20004399633, 415512.23106398724, 415389.59449142066, 415323.45473926247, 415227.2407487872, 415141.96970421204, 415076.0169777276, 414979.8431354153, 414894.5720908401, 414823.0493618938, 414745.754093237, 414674.23136429064, 414607.3899401414, 414535.2540566989, 414467.63468310836, 414396.74967324984, 414332.0582921191, 414254.07668428787, 414188.33919919684, 414118.0318767408)",854588984.0
4,Syn_n_50000_d_2_seed_4,normalized_50k,20.0,20.0,10.0,416852.35924445675,34.55524039268494,416852.3592444579,379.04086565971375,10.969128310273703,-2.7927231127571595e-13,"(418183.209744194, 418155.76221508405, 418032.4904925378, 417957.97839612846, 417874.60596433416, 417798.17389207677, 417731.39078005677, 417654.9587077994, 417596.5147853027, 417520.0827130454, 417456.7909023262, 417383.6725708107, 417320.3807600915, 417249.2312645456, 417186.311204622, 417117.27940179297, 417054.35934186913, 416985.4645607852, 416921.06477159, 416852.35924445675)",-2100542339.0
5,Syn_n_50000_d_2_seed_5,normalized_50k,20.0,20.0,10.0,417275.4692972443,34.700255155563354,417275.46929724613,380.320547580719,10.960165735834472,-4.4638261443164344e-13,"(418667.5474309504, 418623.09964315186, 418520.7120451318, 418456.6627053002, 418362.66164540406, 418301.0569695336, 418213.2257855469, 418151.72292155935, 418069.7191059947, 418002.2870617029, 417923.41833820357, 417855.7963417645, 417780.49823444575, 417712.8762380067, 417635.7154169766, 417573.2174369334, 417491.4035735158, 417423.78157707694, 417343.0912936831, 417275.4692972443)",-2110644831.0
6,Syn_n_50000_d_2_seed_6,normalized_50k,20.0,20.0,10.0,416524.42649937223,54.01702308654785,416513.75476910407,375.9514763355255,6.959870330750432,0.002562155546118867,"(418013.769955397, 417950.6180908747, 417830.50295788556, 417761.4029325402, 417662.60187839676, 417593.437703531, 417507.10677672987, 417431.52960924467, 417352.1558606042, 417276.5786931191, 417197.08082254464, 417122.6639350826, 417041.4177411436, 416966.2355290372, 416890.04075955815, 416817.987036461, 416739.18417885224, 416674.6547172825, 416595.8518596739, 416524.42649937223)",391633469.0
7,Syn_n_50000_d_2_seed_7,normalized_50k,20.0,20.0,10.0,414277.69403171056,61.721662521362305,414277.694031712,375.36019563674927,6.081498461044118,-3.512599263249963e-13,"(415675.13162263174, 415619.26643776585, 415523.1300037335, 415444.6455129155, 415359.74594514334, 415266.5803228792, 415207.74920195143, 415114.5835796873, 415046.2587488137, 414978.9738196466, 414894.6036348296, 414832.9355215156, 414758.4303919256, 414681.2804075315, 414627.66573182377, 414547.5757767585, 414483.96078784816, 414411.4098237086, 414334.2598393144, 414277.69403171056)",-234583815.0
8,Syn_n_50000_d_2_seed_8,normalized_50k,20.0,20.0,10.0,414879.43645241106,55.82511615753174,414873.36501197657,376.42018032073975,6.742846342827616,0.001463444257096506,"(416262.3562071252, 416228.77985682496, 416084.94444904156, 416020.4686029578, 415936.8982544818, 415849.14954227954, 415789.698780972, 415701.95006876974, 415638.377237293, 415557.27743504057, 415491.77831988066, 415418.62876525795, 415353.129650098, 415281.81983115926, 415216.32071599935, 415147.92522025364, 415079.42541666236, 415011.2514659619, 414942.6164825637, 414879.43645241106)",346814034.0
9,Syn_n_50000_d_2_seed_9,normalized_50k,20.0,20.0,10.0,416445.4363533344,63.121142864227295,416445.4363533374,374.58174991607666,5.934330921760983,-7.268175139593046e-13,"(417861.4659893216, 417801.10534436535, 417707.11383116315, 417638.7808616348, 417547.8850296168, 417482.09916059347, 417391.0576682016, 417323.2787606882, 417243.0040969161, 417166.451399273, 417096.1965226752, 417017.45900435926, 416949.08536765486, 416870.65143011836, 416792.85273543064, 416723.5402750974, 416650.93635440926, 416579.50932634115, 416516.8633814025, 416445.4363533344)",-272650630.0
