,dataset_name,method,k,theta,max,SSE,Total_time,allSSEs
0,01,asc,20,1,10,415.0284567695204,253.90519261360168,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 437.34159554330995, 435.231870898784, 432.5251162216806, 430.4153915771557, 428.5885106155258, 426.88927882862424, 425.23867094989254, 423.5394406231647, 421.98293914495883, 420.55924436780305, 419.19549426903006, 417.8233703206365, 416.40190766644247, 415.0284567695204)"
1,01,asc,20,2,10,415.2457736813376,145.43427848815918,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 437.4951181822313, 435.38539353770534, 432.67863886060206, 430.568914216077, 428.74203325444716, 427.0466510620586, 425.3921935888139, 423.69681285659897, 422.14031137839316, 420.71276700672433, 419.3490169079514, 417.98297467703264, 416.6095237801106, 415.2457736813376)"
2,01,asc,20,4,10,416.18583451166734,113.30871844291687,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 437.8392210415251, 435.75813598854984, 433.022741719896, 431.15756914166946, 429.33068818003915, 427.6734292793873, 425.98084851440586, 424.3235910739277, 422.76692713667785, 421.3014219323164, 419.9376718335434, 418.7267330287805, 417.39677331643026, 416.18583451166734)"
3,01,asc,20,8,10,416.2932695637496,95.72768688201904,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 438.7350026136704, 435.75813598854984, 434.0564263816127, 432.40829632291656, 430.70658817615316, 428.8411170738807, 427.0142361122505, 425.33503031814314, 423.66439644661716, 421.98519211268354, 420.4286906344777, 419.06494053570475, 417.7147322179437, 416.2932695637496)"
4,01,asc,20,16,10,417.10863719160596,86.67870283126831,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 438.7350026136704, 435.75813598854984, 434.0564263816127, 431.97409438838145, 430.36008544951915, 428.6242547227481, 427.09204778360373, 425.51379077078104, 423.9839425651179, 422.620192466345, 421.3824191530271, 419.8259176748211, 418.46216757604816, 417.10863719160596)"
5,01,asc,20,32,10,416.96361532858896,81.22331643104553,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 453.6099239485986, 447.61663154605355, 440.5746153101812, 438.7350026136704, 435.75813598854984, 434.0564263816127, 432.40829632291656, 430.70658817615316, 429.1500866979474, 427.6352054163067, 425.94262465132516, 424.2853672108471, 422.8755676913706, 421.3189037541205, 420.25594753356586, 418.5201168067948, 416.96361532858896)"
6,01,asc,20,64,10,417.15501866177215,82.00641632080078,"(477.2111537991657, 470.9720249755372, 462.5361607654072, 455.3364966426743, 449.5008521269898, 446.1604857131758, 439.0715962942529, 437.23831101229405, 434.2551169726215, 432.55973478023645, 430.90527730698824, 429.2098965747769, 427.6533950965711, 425.97450748480577, 424.4059160667179, 422.8755676913705, 421.3189037541205, 420.000953603732, 418.4748389283022, 417.15501866177215)"
0,r01,asc,20,1,10,1665.9205079195704,283.32659935951233,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2004.1676547008124, 1971.6271023667737, 1924.9253551611241, 1900.2070012628287, 1851.155180183022, 1821.7153214958832, 1803.2226826958802, 1785.9847173160242, 1768.6578538193369, 1756.2211828315585, 1744.2687056122697, 1732.3953514630093, 1718.220168708238, 1703.2623295284109, 1689.499087264113, 1677.0740327137123, 1665.9205079195704)"
1,r01,asc,20,2,10,1665.9205079195704,155.54629683494568,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2004.1676547008124, 1971.6271023667737, 1924.9253551611241, 1900.2070012628287, 1851.155180183022, 1821.7153214958832, 1803.2226826958804, 1785.9847173160247, 1768.6578538193369, 1756.2211828315585, 1744.2687056122697, 1732.3953514630093, 1718.2201687082434, 1703.5797415262734, 1689.8164992619757, 1677.0740327137123, 1665.9205079195704)"
2,r01,asc,20,4,10,1665.9205079195697,145.86829042434692,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2004.1676547008124, 1971.6271023667737, 1924.9253551611241, 1900.2070012628287, 1851.155180183022, 1821.7153214958835, 1803.2226826958804, 1785.9847173160242, 1768.6578538193369, 1756.321105386637, 1744.368628167348, 1732.3953514630093, 1718.2201687082434, 1703.5797415262734, 1689.8164992619757, 1677.173955268791, 1665.9205079195697)"
3,r01,asc,20,8,10,1671.7932537458594,133.2859673500061,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2007.1172189146296, 1971.6271023667737, 1942.1872436796336, 1904.8292280584915, 1871.6272682704418, 1839.1828577271208, 1809.7429990399805, 1791.1532282864264, 1773.7794150265595, 1760.281911443762, 1748.3294342244733, 1736.8467082451089, 1723.3508827979333, 1708.3955071730081, 1694.6322649087103, 1681.1231448885387, 1671.7932537458594)"
4,r01,asc,20,16,10,1674.679904589136,120.22061729431152,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2007.1172189146296, 1971.6271023667737, 1929.452449278503, 1909.1602374834783, 1884.7106812660097, 1841.5945784349874, 1817.5318583066346, 1792.9169763398168, 1775.1650803007274, 1763.2126030814384, 1751.7348745674003, 1738.9025779443991, 1724.7365480721023, 1709.781172447176, 1696.0179301828782, 1686.6880390401989, 1674.679904589136)"
5,r01,asc,20,32,10,1673.327890619546,119.77993488311768,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2007.1172189146296, 1973.9778635658627, 1924.9253551611246, 1907.5817629768744, 1868.327232438175, 1843.5459021155593, 1827.1917429662371, 1801.8583550681287, 1780.879926485909, 1760.740770892155, 1748.7882936728663, 1737.3105651588282, 1724.4782685358268, 1710.31223866353, 1696.4210240265231, 1682.6577817622253, 1673.327890619546)"
6,r01,asc,20,64,10,1687.4668594697293,115.38454174995422,"(2125.237293628466, 2108.3364657946313, 2045.1116869535156, 2007.1172189146296, 1977.1169198355374, 1946.4459811273919, 1912.9068878677538, 1878.540977536056, 1849.9413144129169, 1837.9936923465734, 1798.2879086753478, 1781.085095689027, 1769.1824326334659, 1757.4848971399529, 1745.289886193492, 1733.5146905689337, 1721.7005119778569, 1708.8811456654819, 1699.5512545228025, 1687.4668594697293)"
